metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.6623708907281184,0.050974662947141716,0.6625,0.6436781609195402,0.591
brier,0.21741700022187924,0.020271411169910183,0.22139135891974987,0.21782309109856102,0.24546840955240937
ece,0.20015817257047835,0.029454040535203462,0.15182850024232408,0.16378917060345052,0.127344736226042
f1,0.7077209368147139,0.04851899452292494,0.6582278481012658,0.7559055118110236,0.6851424172440339
f1_negative,0.5956216081408504,0.06701999935175595,0.6666666666666666,0.3404255319148936,0.4165477888730385
f1_positive,0.7077209368147139,0.04851899452292494,0.6582278481012658,0.7559055118110236,0.6851424172440339
mce,0.6124903090611005,0.1859351935484191,0.5509134437739007,0.5838974442776123,0.27569495632110064
positive_rate,0.5624290379463026,0.08796644482169945,0.3875,0.5862068965517241,0.5
pr_auc,0.7634663632172333,0.10957910638823334,0.573693007119922,0.7821425551823535,0.6133460281368168
precision,0.6927764775547034,0.10302646660907254,0.5416666666666666,0.631578947368421,0.5569461827284106
roc_auc,0.7252354944616971,0.06247276310694904,0.7244897959183674,0.7475490196078431,0.666758
sensitivity,0.7379850570322173,0.072838177232663,0.8387096774193549,0.9411764705882353,0.89
specificity,0.5861670736670737,0.10655027993607612,0.5510204081632653,0.2222222222222222,0.292
