metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.5148772867310621,0.07822795948074543,0.3875,0.5862068965517241,0.501
brier,0.24907807381939037,0.01696663267877836,0.283892025346108,0.21311450134122448,0.24858179240539216
ece,0.17054848464950315,0.036340904580175554,0.2629682768958906,0.09538321309103345,0.18112566505633926
f1,0.5521201708546147,0.055037717841344674,0.5585585585585585,0.7391304347826086,0.66711140760507
f1_negative,0.46265082090188336,0.12381191313942888,0.0,0.0,0.003992015968063872
f1_positive,0.5521201708546147,0.055037717841344674,0.5585585585585585,0.7391304347826086,0.66711140760507
mce,0.47306877786895046,0.2056463229167024,0.6835354163221445,0.3372745547669018,0.46134890869841144
positive_rate,0.5624290379463026,0.08796644482169945,0.3875,0.5862068965517241,0.5
pr_auc,0.6552787060415419,0.06402768733427308,0.6286114261159397,0.8167561635173364,0.6896236119491188
precision,0.5831665162794195,0.1013958808824523,0.3875,0.5862068965517241,0.5005005005005005
roc_auc,0.5563570535507292,0.08358985215806691,0.7156023699802503,0.7660675381263617,0.722154
sensitivity,0.5352703103184847,0.06034769437871963,1.0,1.0,1.0
specificity,0.4959045584045584,0.13891553361630968,0.0,0.0,0.002
