metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.5950251706822143,0.07506359762032559,0.55,0.5862068965517241,0.627
brier,0.2467682944285871,0.013802983466031383,0.2626697959154685,0.2375632048390648,0.2322745569167654
ece,0.18392606009192203,0.052523842228422615,0.21495405878059884,0.1552295475671667,0.11947955963739461
f1,0.7084635285744777,0.06394424877639919,0.55,0.6785714285714286,0.671943711521548
f1_negative,0.3229971783434782,0.1065964524694096,0.55,0.41935483870967744,0.5677867902665121
f1_positive,0.7084635285744777,0.06394424877639919,0.55,0.6785714285714286,0.671943711521548
mce,0.802485010654323,0.10670824800104936,0.9427918961373937,0.5463395937389595,0.27391408673636924
positive_rate,0.5624290379463026,0.08796644482169945,0.3875,0.5862068965517241,0.5
pr_auc,0.6571823120213136,0.07060792493971632,0.4929093499948286,0.6961858835308871,0.6950198717165035
precision,0.5973087716906085,0.09477774612246463,0.4489795918367347,0.6229508196721312,0.5996860282574569
roc_auc,0.5916525757403945,0.05909027218449224,0.6063199473337721,0.6451525054466231,0.704564
sensitivity,0.8879573410869049,0.056985122365283636,0.7096774193548387,0.7450980392156863,0.764
specificity,0.23006206756206757,0.09742653108034072,0.4489795918367347,0.3611111111111111,0.49
