metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.5854945094903019,0.07885101211091619,0.3559322033898305,0.5357142857142857,0.46905537459283386
brier,0.2425670529356033,0.04048470976264284,0.32653544160035985,0.2922446821243628,0.32187515617589757
ece,0.23193035012307273,0.04720943611931047,0.33210513792617435,0.28328192305861055,0.22924800194757608
f1,0.666659594813753,0.08097086805698381,0.4722222222222222,0.6486486486486487,0.5809768637532133
f1_negative,0.40183466241360977,0.15970297426053037,0.17391304347826086,0.3157894736842105,0.27555555555555555
f1_positive,0.666659594813753,0.08097086805698381,0.4722222222222222,0.6486486486486487,0.5809768637532133
mce,0.6637493529571028,0.1852647808287811,0.5703245106104332,0.9529056153619143,0.4955593972823611
positive_rate,0.5762961461685164,0.11178300706850548,0.3559322033898305,0.5,0.4799131378935939
pr_auc,0.6685895521810182,0.1299429892787328,0.48970711075045403,0.4950878144613672,0.4599104105759846
precision,0.6129553379496171,0.10506409674630438,0.3333333333333333,0.5217391304347826,0.4675862068965517
roc_auc,0.5926973026973026,0.08086384958320408,0.5137844611528821,0.5318877551020409,0.4718044757649326
sensitivity,0.7427913752913754,0.0895589501959668,0.8095238095238095,0.8571428571428571,0.7669683257918553
specificity,0.3527960927960928,0.1588128412435936,0.10526315789473684,0.21428571428571427,0.1941544885177453
