regions,input_rows,retained_rows,dropped_rows,variant,dataset
VH,970,970,0,vh_full,train
VH,80,80,0,vh_full,jain
VH,88,88,0,vh_full,shehata
VH,1000,1000,0,vh_full,harvey
CDRH1,970,731,239,cdrh1,train
CDRH1,80,80,0,cdrh1,jain
CDRH1,88,88,0,cdrh1,shehata
CDRH1,1000,1000,0,cdrh1,harvey
CDRH2,970,731,239,cdrh2,train
CDRH2,80,80,0,cdrh2,jain
CDRH2,88,88,0,cdrh2,shehata
CDRH2,1000,1000,0,cdrh2,harvey
CDRH3,970,731,239,cdrh3,train
CDRH3,80,80,0,cdrh3,jain
CDRH3,88,88,0,cdrh3,shehata
CDRH3,1000,999,1,cdrh3,harvey
CDRH1+CDRH2+CDRH3,970,731,239,cdrh123,train
CDRH1+CDRH2+CDRH3,80,80,0,cdrh123,jain
CDRH1+CDRH2+CDRH3,88,88,0,cdrh123,shehata
CDRH1+CDRH2+CDRH3,1000,999,1,cdrh123,harvey
