metric,train_cv_mean,train_cv_std,boughter
accuracy,0.5942307343335874,0.0546327956430824,0.5856573705179283
brier,0.2482029621090315,0.024426283670348586,0.24096608483856616
ece,0.145087375183143,0.037622721395351215,0.05664508852528742
f1,0.6092453723868035,0.06559425890739548,0.6231884057971014
f1_negative,0.5704681441688455,0.07238540669889462,0.5398230088495575
f1_positive,0.6092453723868035,0.06559425890739548,0.6231884057971014
mce,0.5031548841918019,0.266004813766839,0.8091214692387141
positive_rate,0.5082953876762482,0.043724073032666545,0.5378486055776892
pr_auc,0.6130816328822688,0.06982987009099494,0.6653217840929496
precision,0.5973846252962601,0.06947857155588814,0.6099290780141844
roc_auc,0.6126641975305086,0.08006282490525768,0.6291826309067688
sensitivity,0.6319254098529737,0.1041469236840536,0.6370370370370371
specificity,0.5573226354084637,0.10575877222447129,0.5258620689655172
