metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.5860719028123734,0.09053585298714131,0.6,0.6206896551724138,0.518
brier,0.23634065927057932,0.022838232756285933,0.2223178653679808,0.2425417770590277,0.3043397703520931
ece,0.2050115723528013,0.03826333834053267,0.12783542827134614,0.14036954440590982,0.2424434012521621
f1,0.6428030895843629,0.08373494870045395,0.5555555555555556,0.736,0.6680440771349863
f1_negative,0.4943073557855942,0.13221225149552482,0.6363636363636364,0.32653061224489793,0.12043795620437957
f1_positive,0.6428030895843629,0.08373494870045395,0.5555555555555556,0.736,0.6680440771349863
mce,0.6439773934664867,0.18652593837890846,0.22353685372570753,0.3305031240735169,0.3319648393447018
positive_rate,0.5624290379463026,0.08796644482169945,0.3875,0.5862068965517241,0.5
pr_auc,0.7267051157847735,0.09692600737415992,0.605495974383617,0.6742572295666868,0.576776448946828
precision,0.6257213000963,0.0864917911334232,0.4878048780487805,0.6216216216216216,0.509453781512605
roc_auc,0.6422864446008825,0.11415586483422813,0.6978275181040158,0.6015795206971678,0.5967
sensitivity,0.6811265772766788,0.15035411993759665,0.6451612903225806,0.9019607843137255,0.97
specificity,0.4768416768416768,0.13152187347442418,0.5714285714285714,0.2222222222222222,0.066
