metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.5658508086561003,0.0960266050102338,0.5375,0.5862068965517241,0.622
brier,0.24439669631152366,0.013076748700434647,0.2640931014781317,0.23405120560021087,0.23401190904288421
ece,0.1871783490708673,0.04727901217959112,0.2084594145473461,0.14851215033949514,0.12814930680568165
f1,0.66474410497344,0.12914397447387527,0.5542168674698795,0.6785714285714286,0.6724436741767764
f1_negative,0.32305049341339664,0.10802405826876438,0.5194805194805194,0.41935483870967744,0.5531914893617021
f1_positive,0.66474410497344,0.12914397447387527,0.5542168674698795,0.6785714285714286,0.6724436741767764
mce,0.7733280261469191,0.11242947775213999,0.9464934654789534,0.5580444228642542,0.24749788092917896
positive_rate,0.5624290379463026,0.08796644482169945,0.3875,0.5862068965517241,0.5
pr_auc,0.66396633386825,0.06474959289280979,0.5098307270705489,0.7094544986255183,0.6925535741549238
precision,0.5805167706294314,0.09382632394894362,0.4423076923076923,0.6229508196721312,0.5932721712538226
roc_auc,0.5967355870897778,0.05646143354099203,0.6129032258064516,0.6574074074074074,0.7072959999999999
sensitivity,0.8233662080819789,0.20611771987843133,0.7419354838709677,0.7450980392156863,0.776
specificity,0.2586334961334961,0.15397465623249817,0.40816326530612246,0.3611111111111111,0.468
