metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.5992598367432428,0.06893557103777884,0.5875,0.5977011494252874,0.609
brier,0.2356469543592697,0.017065308148533305,0.24259288831690867,0.26713280343106255,0.2505286517308094
ece,0.1894688061343223,0.05329701208711681,0.13273017950922697,0.19293908570921586,0.19991533258967695
f1,0.7077963627768434,0.05963682841328872,0.47619047619047616,0.6728971962616822,0.7022086824067022
f1_negative,0.3425961374858154,0.13070418521003047,0.6597938144329897,0.47761194029850745,0.43085880640465796
f1_positive,0.7077963627768434,0.05963682841328872,0.47619047619047616,0.6728971962616822,0.7022086824067022
mce,0.6771530704275532,0.1780531004284081,0.3428759639647864,0.9091288544504433,0.2641868435040307
positive_rate,0.5624290379463026,0.08796644482169945,0.3875,0.5862068965517241,0.5
pr_auc,0.6916931544966023,0.0383307662970616,0.5378315464631324,0.5751155890377289,0.704898239614693
precision,0.6006122065501782,0.08643908174530363,0.46875,0.6428571428571429,0.5670356703567035
roc_auc,0.6287740041908038,0.08177056585539991,0.6227781435154707,0.5299564270152506,0.7332919999999999
sensitivity,0.8771834382655884,0.07205623096142184,0.4838709677419355,0.7058823529411765,0.922
specificity,0.24952686202686203,0.10064767625731916,0.6530612244897959,0.4444444444444444,0.296
