id,heavy_seq,light_seq,label,source,smp,ova
abituzumab,INPRSGYT,,0,jain2017,0.125938041,0.044483421
atezolizumab,ISPYGGST,,0,jain2017,0.000958292,-0.001760106
brentuximab,IYPGSGNT,,0,jain2017,1.154098867,0.007780507
brodalumab,ISTYSGNT,,1,jain2017,1.6312774,0.968661954
carlumab,IIPIFGTA,,0,jain2017,1.272852547,0.001902597
crenezumab,INSNGGST,,0,jain2017,0.007306206,0.00250954
duligotuzumab,ISAAGGYT,,0,jain2017,0.774677157,0.001107738
elotuzumab,INPDSSTI,,0,jain2017,0.0,0.0
emibetuzumab,VNPNRRGT,,1,jain2017,1.0,1.0
ficlatuzumab,INPTNGHT,,0,jain2017,0.013855015,0.020899393
ganitumab,IYHSGST,,1,jain2017,1.686512271,0.823554122
golimumab,MSYDGSNK,,1,jain2017,0.007551478,0.066685112
ibalizumab,INPYNDGT,,0,jain2017,0.001169487,0.007666172
ixekizumab,INPMYGTT,,0,jain2017,1.71935974,1.04213145
lenzilumab,INAGNGNT,,1,jain2017,1.225181551,0.952324739
matuzumab,FNPSNGRT,,0,jain2017,0.129605224,-0.00136211
mepolizumab,IWASGGT,,0,jain2017,0.001333002,0.00307732
natalizumab,IDPANGYT,,1,jain2017,1.102562951,0.000803062
olaratumab,FFYTGST,,1,jain2017,0.90617444,0.484068557
otlertuzumab,IDPYYGGT,,1,jain2017,0.018206059,-0.001487104
panitumumab,IYYSGNT,,0,jain2017,0.033966375,0.003907939
patritumab,INHSGST,,1,jain2017,1.039579326,0.167826416
pinatuzumab,IYPGDGDT,,0,jain2017,0.003540827,-0.000995498
radretumab,ISGSSGTT,,0,jain2017,0.000279962,-0.001319525
rituximab,IYPGNGDT,,1,jain2017,1.191452339,0.968716275
romosozumab,INPNSGGA,,0,jain2017,0.036418774,0.001701228
simtuzumab,INPGSGGT,,0,jain2017,0.521666455,0.810577311
trastuzumab,IYPTNGYT,,0,jain2017,-0.001057262,0.003706197
tremelimumab,IWYDGSNK,,1,jain2017,0.107641493,0.011349369
veltuzumab,IYPGMGDT,,0,jain2017,0.001281257,0.002700147
visilizumab,INPRSGYT,,1,jain2017,1.446973462,0.911776951
bococizumab,ISPFGGRT,,1,jain2017,1.960070104,1.04
CNTO607,IAYDSSNT,,0,jain2017,1.0,0.0
lebrikizumab,IWGDGKI,,0,jain2017,0.058847,0.0
gantenerumab,INASGTRT,,1,jain2017,0.49476139,0.478748474
aducanumab,IWFDGTKK,,1,jain2017,0.928757996,0.599712885
tilavonemab,IRLKSDNYAT,,0,jain2017,1.01724534,0.588175273
cinpanemab,IKSTADGGTT,,0,jain2017,0.531681995,-0.000230945
gosuranemab,ISSSGSRT,,0,jain2017,0.014602166,0.002143588
zagotenemab,ILPGSDSI,,1,jain2017,1.35296494,1.273822111
bepranemab,IWTDGST,,0,jain2017,0.646689397,0.001826496
semorinemab,INSGGTYT,,0,jain2017,0.002504956,0.003260944
abrilumab,FDPQDGET,,0,jain2017,0.001496686,5.95e-05
certolizumab,INTYIGEP,,0,jain2017,0.002280664,0.000237925
dacetuzumab,VIPNAGGT,,1,jain2017,0.019670729,0.000713776
eculizumab,ILPGSGST,,0,jain2017,0.000356354,0.000297407
ipilimumab,ISYDGNNK,,1,jain2017,0.089587342,0.072864621
urelumab,INHGGYV,,1,jain2017,0.033140902,-5.95e-05
omalizuma,ITYDGST,,0,jain2017,-0.000213812,0.0
tovetumab,ISSSGSII,,1,jain2017,0.027154159,0.033785391
robatumumab,IDTRGAT,,1,jain2017,0.030788967,0.077504164
