metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.6383133252389914,0.08905258193883595,0.47297297297297297,0.6101694915254238,0.4893939393939394
brier,0.23445275869767,0.045077717299194665,0.30759221597702463,0.3198159002615116,0.2965758589318729
ece,0.2436742243192839,0.04302373724768992,0.2517835317890824,0.28453409226661336,0.18691813710687857
f1,0.6970089588174936,0.08227948614403773,0.4657534246575342,0.7088607594936709,0.4854961832061069
f1_negative,0.5008648515227463,0.1892945716187798,0.48,0.41025641025641024,0.4932330827067669
f1_positive,0.6970089588174936,0.08227948614403773,0.4657534246575342,0.7088607594936709,0.4854961832061069
mce,0.6750832309319708,0.19842689278655581,0.6966125025189567,0.48933938432164703,0.6148843626108922
positive_rate,0.5762961461685164,0.11178300706850548,0.35135135135135137,0.4915254237288136,0.396969696969697
pr_auc,0.7548887522580133,0.11991612620875719,0.4154495936240846,0.5257611935037216,0.3715251704645855
precision,0.6736919948816233,0.12126332263317743,0.3617021276595745,0.56,0.40458015267175573
roc_auc,0.6579867354867355,0.12987141338953662,0.5673076923076923,0.5913793103448276,0.481908588745253
sensitivity,0.7435575535575536,0.11717213371932814,0.6538461538461539,0.9655172413793104,0.6068702290076335
specificity,0.4784523809523809,0.22052657853125687,0.375,0.26666666666666666,0.4120603015075377
