metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,boughter,boughter_ci_lower,boughter_ci_upper,boughter_ci_median
accuracy,0.610426447574335,0.08822088345035131,0.5744089012517385,0.6453755215577189,0.6098748261474269,0.6294820717131474,0.5697211155378487,0.6852589641434262,0.6294820717131474
brier,0.23554844264448174,0.02618544508190831,0.22453455016813137,0.24720825649405148,0.23571914610752237,0.22416695914445892,0.20604064831796287,0.24230396144040175,0.22439878980452083
ece,0.15229231517503078,0.03435466924646098,0.04286880179307491,0.09673909007397782,0.06881691851985054,0.06239866681901021,0.05862828925385541,0.13761340439686937,0.09617110838465674
f1,0.6070664460601769,0.10583625593837112,0.5667118157659369,0.6516486218198152,0.6115702479338843,0.6618181818181819,0.5992217898832685,0.7210909642667476,0.6616541353383458
f1_negative,0.608630638586716,0.08268814354532887,0.564327485380117,0.6485895066481852,0.6087555395855792,0.5903083700440529,0.5106127250409165,0.6638315529266354,0.5917517006802722
f1_positive,0.6070664460601769,0.10583625593837112,0.5667118157659369,0.6516486218198152,0.6115702479338843,0.6618181818181819,0.5992217898832685,0.7210909642667476,0.6616541353383458
mce,0.5117585921878596,0.24522055150201105,0.301452896909566,0.8805693581780538,0.8805693581780538,0.1548855252373373,0.15262535070069222,0.5156517202219821,0.2545906472235562
positive_rate,0.5089593114241001,0.04304219774759994,0.4728789986091794,0.5438108484005564,0.5090403337969402,0.5378486055776892,0.47808764940239046,0.5977091633466135,0.5338645418326693
pr_auc,0.6707865117313924,0.11150149089194658,0.5792736996396005,0.6920936195270013,0.6371483958947801,0.7150213504673885,0.6424021767089639,0.7933154703502718,0.717069061452317
precision,0.618230327117711,0.1111527939364009,0.5709678644365306,0.6703608845695539,0.6211680135385858,0.65,0.5761130749955252,0.7266702916736378,0.648854961832061
roc_auc,0.6619521532021533,0.10324347670804794,0.6151413911648216,0.6943148607995041,0.65536486155812,0.6821839080459771,0.6184889603371995,0.7442785760179401,0.6832036126066034
sensitivity,0.6001259532509533,0.11083342260328027,0.5525419675153276,0.6512952646239555,0.6025807525807525,0.674074074074074,0.5950254291163383,0.7518276466926951,0.673017879718259
specificity,0.6197022047022046,0.09979135509234453,0.5678524181582968,0.6666907514450866,0.6179439879255408,0.5775862068965517,0.48434895833333336,0.6666666666666666,0.5783186983471074
