metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,boughter,boughter_ci_lower,boughter_ci_upper,boughter_ci_median
accuracy,0.6541666666666666,0.03302973885506845,0.6124305555555556,0.6903125,0.6527777777777778,0.652,0.592,0.7081,0.65
brier,0.22119446982413132,0.019177001499734725,0.20914090780327815,0.2384699813517104,0.2217982639653095,0.26106159587270905,0.22991700062415635,0.2978907402025676,0.26361350083800394
ece,0.1574567501808864,0.04446784229765378,0.04986647778621187,0.09925397137825383,0.07233361198006572,0.19441587188589027,0.16392959671909257,0.27170941182657987,0.21762787110896537
f1,0.6358986946335493,0.049913152873112245,0.5982785876255264,0.6825485625485626,0.6378066378066378,0.6390041493775933,0.5713687985654513,0.704501679731243,0.6376227373968693
f1_negative,0.6672646964580841,0.03441419451567446,0.6275745535664738,0.7020840356594373,0.6658013981302113,0.6640926640926641,0.6015443822471012,0.7327526132404181,0.6615085303801257
f1_positive,0.6358986946335493,0.049913152873112245,0.5982785876255264,0.6825485625485626,0.6378066378066378,0.6390041493775933,0.5713687985654513,0.704501679731243,0.6376227373968693
mce,0.41572600614275446,0.1281883578484038,0.13010640621349134,0.39463912338857066,0.21942701551932672,0.545926698924576,0.36813015462126786,0.8567272578140687,0.5574423547492307
positive_rate,0.4916666666666667,0.04202520636263044,0.4597222222222222,0.5279513888888889,0.4930555555555556,0.588,0.5318,0.652,0.588
pr_auc,0.6879366328000784,0.0775485420798154,0.6221759261761408,0.7227977150725292,0.6691011697605493,0.7543021923717707,0.6848456037846359,0.8231621006502663,0.7555205980357004
precision,0.6594046007857078,0.06140490720852939,0.6090948844411309,0.7081704547409714,0.656924712201881,0.8191489361702128,0.7471760797342193,0.9011324041811847,0.8212406015037594
roc_auc,0.7068930794380275,0.05456414281021768,0.6562278605062158,0.73892048719877,0.7001982235578295,0.6748893732250182,0.6057328410388128,0.7313497047209371,0.6717482523880637
sensitivity,0.6225740366084793,0.0856470573896987,0.574609175520962,0.6731357499464239,0.6213603082851638,0.5238095238095238,0.45498713329902213,0.597256455399061,0.5209800469483568
specificity,0.6877059559006155,0.07220831188258897,0.6333656567550978,0.7262930647262273,0.6868030230960309,0.8349514563106796,0.7699247572815534,0.9048172757475084,0.837082912032356
