metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median,shehata_curated,shehata_curated_ci_lower,shehata_curated_ci_upper,shehata_curated_ci_median,harvey,harvey_ci_lower,harvey_ci_upper,harvey_ci_median
accuracy,0.647422680412371,0.04448811637850793,0.6164175257731959,0.6793814432989691,0.6479381443298969,0.5625,0.4375,0.6753125000000001,0.5625,0.6551724137931034,0.5517241379310345,0.7471264367816092,0.6551724137931034,0.595,0.568,0.627025,0.597
brier,0.22502802101339675,0.015733834271358944,0.21514945643804184,0.23783921457123855,0.22503261222432303,0.24279986908237822,0.2108210540404971,0.27675327952260137,0.24294887927551678,0.21650053000699626,0.16516646859027806,0.26755677025574204,0.21829067404074073,0.24773692915212553,0.23356290309999514,0.262087939478042,0.2468280757537934
ece,0.13242770195433143,0.025354623224555686,0.04890232135710574,0.09745149657750009,0.07243262946281914,0.1445817638682361,0.11689325573132252,0.2748050159826692,0.19307457488247273,0.15371276441320017,0.11041099639145135,0.2594604168905798,0.18026251221080924,0.15238291557924832,0.12286068454342995,0.18243437901894308,0.15370740791878834
f1,0.6578425437762185,0.047105941870030456,0.6221709570791806,0.6960070095129104,0.6612902734095147,0.5569620253164557,0.4240530303030303,0.6896551724137931,0.5476190476190477,0.7619047619047619,0.6778272939801285,0.8369133291614518,0.7561040164097135,0.6924829157175398,0.666113666470415,0.7228095709631942,0.6940020859602423
f1_negative,0.629930362398282,0.06164937481420677,0.6003981525720656,0.6674101637991723,0.6339671896194303,0.5679012345679012,0.4166396103896104,0.7113108614232211,0.5679012345679012,0.375,0.18850771869639796,0.5373421354764638,0.373546511627907,0.40702781844802344,0.3635668612732833,0.4510392070206452,0.40979917126706117
f1_positive,0.6578425437762185,0.047105941870030456,0.6221709570791806,0.6960070095129104,0.6612902734095147,0.5569620253164557,0.4240530303030303,0.6896551724137931,0.5476190476190477,0.7619047619047619,0.6778272939801285,0.8369133291614518,0.7561040164097135,0.6924829157175398,0.666113666470415,0.7228095709631942,0.6940020859602423
mce,0.5079400170165579,0.22886708685532994,0.19205407688715534,0.6984130094043902,0.3749400351418045,0.3227867401377647,0.31041925984614877,0.8267239947132866,0.5590355578839403,0.4313354044604044,0.3583936726505575,0.7044657142480422,0.4665625896360618,0.22138643676143674,0.21659882358526947,0.4482061721042091,0.26159616364999194
positive_rate,0.5164948453608247,0.06546369203810684,0.48551546391752576,0.548479381443299,0.5154639175257731,0.3875,0.275,0.4875,0.375,0.5862068965517241,0.4827586206896552,0.6787356321839081,0.5747126436781609,0.5,0.472975,0.5310750000000001,0.5
pr_auc,0.7055382194182843,0.08030264781544545,0.6416257065886691,0.7395679294779611,0.6926182190214545,0.5278583152282428,0.3846359915124654,0.7020128468894187,0.5230493287207252,0.8047268853263766,0.692364354988909,0.9077605357280564,0.8059275180050505,0.6542564790918979,0.6086970661946142,0.70031690338209,0.6599412511032456
precision,0.6592896415582128,0.07794201473525196,0.616858631427659,0.7038480392156863,0.6587276271486797,0.4583333333333333,0.3391369047619048,0.6001041666666667,0.45190529041805405,0.64,0.532987012987013,0.756578947368421,0.6308579668348955,0.5581395348837209,0.5284739467849223,0.5964946567825166,0.5595322568856513
roc_auc,0.6925040350100273,0.053348207258088844,0.6528722880352082,0.7258669395980002,0.689134097907226,0.6287030941408822,0.5039694068343005,0.7708897877577755,0.6305867616719544,0.7546296296296297,0.639418283167409,0.8590942671394799,0.7551961489436854,0.684678,0.6537551886976823,0.7110192927958936,0.6879206191885356
sensitivity,0.6637019687966134,0.061148048216364735,0.6190098614072495,0.7187696445841393,0.6625508130081301,0.7096774193548387,0.5348214285714286,0.875,0.719375,0.9411764705882353,0.8489840348330915,1.0,0.9423076923076923,0.912,0.8863459175959176,0.9353922591111884,0.9126016260162602
specificity,0.6324351153428249,0.08798794442889814,0.5858960985741029,0.668109969950917,0.6323260051700514,0.46938775510204084,0.32608695652173914,0.6076505602240897,0.46938775510204084,0.25,0.11748366013071895,0.40060606060606074,0.25,0.278,0.24217406986738704,0.31746414218969515,0.2791545247535789
