metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median,shehata_curated,shehata_curated_ci_lower,shehata_curated_ci_upper,shehata_curated_ci_median,harvey,harvey_ci_lower,harvey_ci_upper,harvey_ci_median
accuracy,0.5963902258422806,0.034305622781172725,0.5595075239398085,0.6320109439124487,0.5964432284541724,0.5686274509803921,0.43137254901960786,0.7058823529411765,0.5686274509803921,0.5535714285714286,0.42857142857142855,0.6964285714285714,0.5535714285714286,0.4766558089033659,0.44408251900108575,0.50814332247557,0.4766558089033659
brier,0.24615417532450698,0.017259431710270244,0.23568596483797496,0.2574912151951979,0.2462393097104284,0.2627306444787314,0.21238207144265092,0.3160646429728458,0.26174460273535416,0.27667722698744124,0.21159724264856938,0.34311768047301916,0.2754345966902203,0.30608235835040887,0.2928943661350406,0.31976997215688363,0.30632791632323597
ece,0.1406259989004055,0.040986069989869874,0.050337493584329304,0.10239049175642824,0.0759173468830987,0.2468084375994803,0.1735260920878251,0.3779409950476164,0.2700488707413928,0.25861857295728885,0.17517294731814434,0.3890743718442865,0.27238844982364613,0.21000816625638405,0.1860209303298709,0.24750882533899965,0.2158424985219478
f1,0.6231032586769655,0.04575903972979609,0.584320598741983,0.6635029913072873,0.625,0.5416666666666666,0.35,0.7059436274509804,0.5454545454545454,0.6753246753246753,0.5428571428571428,0.7901234567901234,0.675,0.5688729874776386,0.5330856113716539,0.6005176876617774,0.5688487326993569
f1_negative,0.5616166639200526,0.04098613765260662,0.5166396550816093,0.6073093703468454,0.5621301775147929,0.5925925925925926,0.40906771799628944,0.7353328173374614,0.5901639344262295,0.2857142857142857,0.06896551724137931,0.4783733133433282,0.2777777777777778,0.3342541436464088,0.2889487537726455,0.37996614985568966,0.3333333333333333
f1_positive,0.6231032586769655,0.04575903972979609,0.584320598741983,0.6635029913072873,0.625,0.5416666666666666,0.35,0.7059436274509804,0.5454545454545454,0.6753246753246753,0.5428571428571428,0.7901234567901234,0.675,0.5688729874776386,0.5330856113716539,0.6005176876617774,0.5688487326993569
mce,0.6192021426196754,0.2159135791753531,0.22775939040444082,0.9015692859771807,0.43409635060905083,0.8100290584340899,0.4980147920120717,0.81338997657935,0.8100290584340899,0.8268069693744428,0.5447487777351956,0.8268069693744428,0.8268069693744428,0.4275355039766121,0.3443557512789249,0.5442395234419136,0.435147675579555
positive_rate,0.5088485746019992,0.04446746364359588,0.47332421340629277,0.5444596443228454,0.5088919288645691,0.37254901960784315,0.23529411764705882,0.5098039215686274,0.37254901960784315,0.5,0.375,0.625,0.5,0.4799131378935939,0.44842562432138977,0.511400651465798,0.4799131378935939
pr_auc,0.6263541693462891,0.09919216108434221,0.5428994157444382,0.6459064500391429,0.5945852741229116,0.4269745163582769,0.27203177134976375,0.6525917006689133,0.4524440659607547,0.597601319600961,0.45545661931969017,0.7868167891663025,0.6196349209066979,0.44938277679452615,0.4106049178227951,0.48945027817699877,0.450921490459544
precision,0.5938808339042316,0.05797400033568775,0.5445703903788025,0.6395395832214404,0.5925492236967647,0.4482758620689655,0.2608695652173913,0.64,0.4508064516129032,0.5306122448979592,0.3912156166814552,0.6666666666666666,0.5306122448979592,0.47041420118343197,0.43234703735508806,0.5058492470113337,0.4705879808648864
roc_auc,0.6098991837515728,0.067583758689496,0.5621233505744907,0.6434365364849678,0.603109806138928,0.5904605263157895,0.4290205824121432,0.7554360661268555,0.5906006335282652,0.6460459183673469,0.4897326203208556,0.7909852150537634,0.6507423939365864,0.47029066966436495,0.43322608013428693,0.5080375429439746,0.4690792122251467
sensitivity,0.6624460092752775,0.07643668109542144,0.6112525248815601,0.7111243386243387,0.6631297495074584,0.6842105263157895,0.45,0.8888888888888888,0.6842105263157895,0.9285714285714286,0.8064516129032258,1.0,0.9310344827586207,0.7194570135746606,0.6781589513462446,0.7601104324519354,0.7194860813704497
specificity,0.531052807486631,0.06731164757483307,0.4759102709586827,0.5793878010814354,0.5279329608938548,0.5,0.3225806451612903,0.6764705882352942,0.5,0.17857142857142858,0.041625,0.34615384615384615,0.17857142857142858,0.25260960334029225,0.2134105312326415,0.2938775510204082,0.25156578930163837
