metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median,shehata_curated,shehata_curated_ci_lower,shehata_curated_ci_upper,shehata_curated_ci_median,harvey,harvey_ci_lower,harvey_ci_upper,harvey_ci_median
accuracy,0.647422680412371,0.04448811637850793,0.6195876288659794,0.6783762886597938,0.6484536082474227,0.5625,0.45,0.675,0.5625,0.6551724137931034,0.5632183908045977,0.7471264367816092,0.6551724137931034,0.595,0.565,0.626,0.596
brier,0.22504674868459285,0.01576238767773728,0.214407759973594,0.2350771322612953,0.22442070968043537,0.24279686553142504,0.21186294635781097,0.27805992861128564,0.2433886255600365,0.2165016816418584,0.1691227193866299,0.26791181077789,0.21556577939591123,0.24773456114764916,0.23567864795415286,0.2604797010438782,0.24733195756252208
ece,0.13212738494266274,0.02503916083437579,0.04898842471594949,0.09830786106606651,0.07101228600269813,0.14458607698245526,0.11476285361694835,0.27113636307338307,0.18517114750102087,0.15371348075330313,0.10715741442715225,0.2568608179411478,0.1768228056174525,0.1523826407496743,0.12617069477698212,0.182727537159854,0.15433509864425418
f1,0.6578425437762185,0.047105941870030456,0.6252391435385382,0.6947192286136913,0.661486059348021,0.5569620253164557,0.4062386775362319,0.6666666666666666,0.5526315789473685,0.7619047619047619,0.672566371681416,0.837234952120383,0.763035321516367,0.6924829157175398,0.6645789702988146,0.7196797618690879,0.6933436292338832
f1_negative,0.629930362398282,0.06164937481420677,0.601935576764851,0.6687782735007264,0.6348682035008653,0.5679012345679012,0.4303345388788427,0.6842105263157895,0.5647058823529412,0.375,0.19990196078431374,0.5334328358208954,0.375,0.40702781844802344,0.36249648876404494,0.4510959111407039,0.40875912408759124
f1_positive,0.6578425437762185,0.047105941870030456,0.6252391435385382,0.6947192286136913,0.661486059348021,0.5569620253164557,0.4062386775362319,0.6666666666666666,0.5526315789473685,0.7619047619047619,0.672566371681416,0.837234952120383,0.763035321516367,0.6924829157175398,0.6645789702988146,0.7196797618690879,0.6933436292338832
mce,0.5079404479894256,0.2288667754901395,0.20024545315336315,0.9421630094043888,0.36273868272660204,0.3227924611529933,0.30998839620550145,0.8267232495724359,0.5615044752544752,0.4313354044604044,0.33496917032244017,0.6645562708644802,0.4834230489141007,0.22138643676143674,0.21652834866036824,0.4414969715951912,0.26422302574706247
positive_rate,0.5164948453608247,0.06546369203810684,0.48556701030927835,0.5463917525773195,0.5164948453608248,0.3875,0.275,0.4875,0.3875,0.5862068965517241,0.4827586206896552,0.6784482758620687,0.5862068965517241,0.5,0.471975,0.53,0.5
pr_auc,0.7053989048159649,0.08040388449441116,0.6412954739610465,0.7377848063383541,0.6927864752443945,0.5278583152282428,0.37611878455830794,0.6892191507023498,0.54082629402824,0.8047268853263766,0.6894636653378059,0.9049604348486497,0.812975050938147,0.6542793792066878,0.6119298251623917,0.7011899982504025,0.6567616192156085
precision,0.6592896415582128,0.07794201473525196,0.6152306916404738,0.6988111501431173,0.6589310485516116,0.4583333333333333,0.30612244897959184,0.5869884910485934,0.45614035087719296,0.64,0.5324274490941158,0.7466666666666667,0.6410256410256411,0.5581395348837209,0.5262355592909536,0.5925236650485437,0.5585531262217678
roc_auc,0.6923323237479255,0.05358362298279581,0.6573601522328458,0.725224376709184,0.691845735962124,0.6287030941408822,0.5006071254928601,0.7511887855162352,0.6274292929292928,0.7546296296296297,0.6439295623909942,0.8589959050996285,0.7571386104977068,0.684726,0.6510805556000065,0.7168889816095603,0.6863603616350225
sensitivity,0.6637019687966134,0.061148048216364735,0.6227897838899804,0.7091778017156029,0.6646341463414634,0.7096774193548387,0.5383928571428571,0.8709677419354839,0.7142857142857143,0.9411764705882353,0.8695652173913043,1.0,0.9433962264150944,0.912,0.8867915474595299,0.9367594611785017,0.9126016260162602
specificity,0.6324351153428249,0.08798794442889814,0.5909970474973506,0.6746273086776823,0.6328857164865074,0.46938775510204084,0.3333333333333333,0.6000943396226414,0.4666666666666667,0.25,0.11764705882352941,0.39546511627906966,0.25,0.278,0.2412355973317162,0.3181862571022727,0.279412273718459
