metric,train_cv_mean,train_cv_std,jain,shehata_curated,harvey
accuracy,0.5618556701030928,0.05307025845869588,0.5875,0.735632183908046,0.678
brier,0.2531220922703567,0.02040933886934514,0.24300077130810482,0.2017840265776464,0.22318341041302756
ece,0.15323034839752578,0.04729124763543041,0.20149290709293682,0.1262090901949163,0.11375827339975002
f1,0.5256025655004467,0.07149630367203146,0.5925925925925926,0.7766990291262136,0.7040441176470589
f1_negative,0.5895840066617078,0.05488016114422255,0.5822784810126582,0.676056338028169,0.6469298245614035
f1_positive,0.5256025655004467,0.07149630367203146,0.5925925925925926,0.7766990291262136,0.7040441176470589
mce,0.6126294659167169,0.22650230347923292,0.43837016368954346,0.612957312932341,0.3292681990953498
positive_rate,0.5164948453608247,0.06546369203810684,0.3875,0.5862068965517241,0.5
pr_auc,0.6232087911783603,0.09080765098300732,0.6261509583022474,0.8187522910717491,0.7051156053391662
precision,0.5969311670258738,0.10860889890585713,0.48,0.7692307692307693,0.6513605442176871
roc_auc,0.5624159399439927,0.08286889158568882,0.7159315339038841,0.7677015250544663,0.7219540000000001
sensitivity,0.4751781708542275,0.06433091237746923,0.7741935483870968,0.7843137254901961,0.766
specificity,0.6584966171105512,0.07497194179928064,0.46938775510204084,0.6666666666666666,0.59
