metric,train_cv_mean,train_cv_std,jain,shehata_curated,harvey
accuracy,0.6,0.07681008148975127,0.6,0.6551724137931034,0.652
brier,0.2398988875656621,0.020151647397158294,0.24808795011094573,0.2245445103830346,0.22608576430177618
ece,0.14519253771486093,0.03600093512139504,0.17997422531096963,0.08229146510035165,0.10364637694781936
f1,0.6603638315997562,0.08316324791048904,0.5897435897435898,0.7222222222222222,0.6870503597122302
f1_negative,0.5067771724808028,0.0689936075604344,0.6097560975609756,0.5454545454545454,0.6081081081081081
f1_positive,0.6603638315997562,0.08316324791048904,0.5897435897435898,0.7222222222222222,0.6870503597122302
mce,0.6522610943842345,0.2616929669639731,0.44764492753623186,0.8181128698498198,0.2093606241222313
positive_rate,0.5164948453608247,0.06546369203810684,0.3875,0.5862068965517241,0.5
pr_auc,0.6438843707681806,0.09321892075492451,0.5363150404459173,0.756543475980356,0.7017978741120436
precision,0.5853662312884407,0.09619440242980733,0.48936170212765956,0.6842105263157895,0.6241830065359477
roc_auc,0.6331499835092191,0.06408858145144017,0.6293614219881501,0.6835511982570806,0.715604
sensitivity,0.7638511405011521,0.07190123764189105,0.7419354838709677,0.7647058823529411,0.764
specificity,0.4267326409069618,0.06962955371298717,0.5102040816326531,0.5,0.54
