metric,train_cv_mean,train_cv_std,jain,shehata_curated,harvey
accuracy,0.6412371134020617,0.06606523623751433,0.625,0.7241379310344828,0.646
brier,0.23001244234388402,0.024403429295735947,0.2215322386639415,0.18538566244319335,0.2341845643299693
ece,0.14619498813168008,0.04387182440746603,0.15159169919080495,0.14110927205300955,0.16318962591724215
f1,0.6881599925306197,0.07193458421250501,0.5945945945945946,0.8032786885245902,0.7140549273021002
f1_negative,0.57191579333926,0.06430454039522981,0.6511627906976745,0.5384615384615384,0.5354330708661418
f1_positive,0.6881599925306197,0.07193458421250501,0.5945945945945946,0.8032786885245902,0.7140549273021002
mce,0.5416690858051532,0.19423987502088977,0.36783882006238716,0.44330304353762234,0.30037541035233994
positive_rate,0.5164948453608247,0.06546369203810684,0.3875,0.5862068965517241,0.5
pr_auc,0.667794953713342,0.09718018330871427,0.660973919229495,0.8336661203717002,0.7233821505884354
precision,0.6221908233395059,0.09246097460562964,0.5116279069767442,0.6901408450704225,0.5989159891598916
roc_auc,0.676964972347397,0.06312643380105445,0.7139565503620803,0.8246187363834423,0.756062
sensitivity,0.7775568069191836,0.06399233739520827,0.7096774193548387,0.9607843137254902,0.884
specificity,0.49991260880673616,0.07817220265155246,0.5714285714285714,0.3888888888888889,0.408
