metric,train_cv_mean,train_cv_std,jain,shehata_curated,harvey
accuracy,0.647422680412371,0.04448811637850793,0.5625,0.6551724137931034,0.595
brier,0.22502802101339675,0.015733834271358944,0.24279986908237822,0.21650053000699626,0.24773692915212553
ece,0.13242770195433143,0.025354623224555686,0.1445817638682361,0.15371276441320017,0.15238291557924832
f1,0.6578425437762185,0.047105941870030456,0.5569620253164557,0.7619047619047619,0.6924829157175398
f1_negative,0.629930362398282,0.06164937481420677,0.5679012345679012,0.375,0.40702781844802344
f1_positive,0.6578425437762185,0.047105941870030456,0.5569620253164557,0.7619047619047619,0.6924829157175398
mce,0.5079400170165579,0.22886708685532994,0.3227867401377647,0.4313354044604044,0.22138643676143674
positive_rate,0.5164948453608247,0.06546369203810684,0.3875,0.5862068965517241,0.5
pr_auc,0.7055382194182843,0.08030264781544545,0.5278583152282428,0.8047268853263766,0.6542564790918979
precision,0.6592896415582128,0.07794201473525196,0.4583333333333333,0.64,0.5581395348837209
roc_auc,0.6925040350100273,0.053348207258088844,0.6287030941408822,0.7546296296296297,0.684678
sensitivity,0.6637019687966134,0.061148048216364735,0.7096774193548387,0.9411764705882353,0.912
specificity,0.6324351153428249,0.08798794442889814,0.46938775510204084,0.25,0.278
