,0
DEYH_0,0.0
DEYH_288,0.0
DEYH_1166,0.0
DEYH_1334,0.0
DEYH_3594,0.0
DEYH_3638,0.0
DEYH_4885,0.0
KRQN_4399,0.0
Rand_394,0.0
Rand_692,0.0
Rand_1744,0.0
Rand_3562,0.0
Rand_3750,0.0
Rand_4254,0.0
Rand_4286,0.0
Rand_4593,0.0
Rand_4669,0.0
DEYH_1,1.0
DEYH_32,1.0
DEYH_863,1.0
DEYH_2662,1.0
DEYH_3193,1.0
DEYH_3536,1.0
DEYH_4679,1.0
DEYH_4734,1.0
DEYH_4787,1.0
DEYH_4832,1.0
KRQN_2335,1.0
KRQN_4006,1.0
KRQN_4605,1.0
Rand_55,1.0
Rand_505,1.0
Rand_623,1.0
Rand_886,1.0
Rand_1179,1.0
Rand_1757,1.0
Rand_2417,1.0
Rand_2974,1.0
Rand_3013,1.0
Rand_3334,1.0
Rand_3659,1.0
Rand_3963,1.0
Rand_4294,1.0
Rand_4519,1.0
Rand_4798,1.0
Rand_4922,1.0
DEYH_2,2.0
DEYH_15,2.0
DEYH_279,2.0
DEYH_397,2.0
DEYH_419,2.0
DEYH_578,2.0
DEYH_651,2.0
DEYH_670,2.0
DEYH_836,2.0
DEYH_1048,2.0
DEYH_1252,2.0
DEYH_1261,2.0
DEYH_1293,2.0
DEYH_1438,2.0
DEYH_1657,2.0
DEYH_1720,2.0
DEYH_2064,2.0
DEYH_2390,2.0
DEYH_2405,2.0
DEYH_2414,2.0
DEYH_2428,2.0
DEYH_2520,2.0
DEYH_2591,2.0
DEYH_2635,2.0
DEYH_2643,2.0
DEYH_2660,2.0
DEYH_2708,2.0
DEYH_2779,2.0
DEYH_2865,2.0
DEYH_2918,2.0
DEYH_2951,2.0
DEYH_2975,2.0
DEYH_3106,2.0
DEYH_3271,2.0
DEYH_3380,2.0
DEYH_3593,2.0
DEYH_3603,2.0
DEYH_3848,2.0
DEYH_3928,2.0
DEYH_3978,2.0
DEYH_4130,2.0
