,0
DEYH_192,0.0
DEYH_340,0.0
DEYH_386,0.0
DEYH_478,0.0
DEYH_577,0.0
DEYH_590,0.0
DEYH_672,0.0
DEYH_779,0.0
DEYH_781,0.0
DEYH_806,0.0
DEYH_819,0.0
DEYH_1160,0.0
DEYH_1489,0.0
DEYH_1680,0.0
DEYH_1711,0.0
DEYH_1714,0.0
DEYH_1728,0.0
DEYH_1750,0.0
DEYH_2142,0.0
DEYH_2317,0.0
DEYH_2352,0.0
DEYH_2856,0.0
DEYH_3096,0.0
DEYH_3242,0.0
DEYH_3371,0.0
DEYH_3440,0.0
DEYH_3472,0.0
DEYH_3665,0.0
DEYH_3676,0.0
DEYH_3732,0.0
DEYH_3765,0.0
DEYH_3800,0.0
DEYH_3836,0.0
DEYH_3839,0.0
DEYH_3917,0.0
DEYH_3922,0.0
DEYH_4111,0.0
DEYH_4257,0.0
DEYH_4392,0.0
DEYH_4613,0.0
DEYH_4788,0.0
DEYH_4977,0.0
KRQN_3,0.0
KRQN_13,0.0
KRQN_17,0.0
KRQN_19,0.0
KRQN_22,0.0
KRQN_33,0.0
KRQN_43,0.0
KRQN_44,0.0
KRQN_46,0.0
KRQN_48,0.0
KRQN_50,0.0
KRQN_52,0.0
KRQN_57,0.0
KRQN_63,0.0
KRQN_67,0.0
KRQN_70,0.0
KRQN_72,0.0
KRQN_74,0.0
KRQN_78,0.0
KRQN_87,0.0
KRQN_88,0.0
KRQN_92,0.0
KRQN_96,0.0
KRQN_98,0.0
KRQN_107,0.0
KRQN_112,0.0
KRQN_113,0.0
KRQN_115,0.0
KRQN_116,0.0
KRQN_123,0.0
KRQN_136,0.0
KRQN_138,0.0
KRQN_142,0.0
KRQN_143,0.0
KRQN_152,0.0
KRQN_155,0.0
KRQN_158,0.0
KRQN_159,0.0
KRQN_163,0.0
KRQN_177,0.0
KRQN_184,0.0
KRQN_190,0.0
KRQN_194,0.0
KRQN_198,0.0
KRQN_200,0.0
KRQN_204,0.0
KRQN_208,0.0
KRQN_210,0.0
KRQN_215,0.0
KRQN_219,0.0
KRQN_222,0.0
KRQN_225,0.0
KRQN_228,0.0
KRQN_233,0.0
KRQN_236,0.0
KRQN_238,0.0
KRQN_242,0.0
KRQN_245,0.0
KRQN_246,0.0
KRQN_252,0.0
KRQN_257,0.0
KRQN_262,0.0
KRQN_264,0.0
KRQN_280,0.0
KRQN_288,0.0
KRQN_293,0.0
KRQN_297,0.0
KRQN_299,0.0
KRQN_300,0.0
KRQN_305,0.0
KRQN_315,0.0
KRQN_317,0.0
KRQN_322,0.0
KRQN_326,0.0
KRQN_333,0.0
KRQN_334,0.0
KRQN_335,0.0
KRQN_338,0.0
KRQN_347,0.0
KRQN_355,0.0
KRQN_360,0.0
KRQN_367,0.0
KRQN_371,0.0
KRQN_372,0.0
KRQN_373,0.0
KRQN_378,0.0
KRQN_379,0.0
KRQN_386,0.0
KRQN_388,0.0
KRQN_392,0.0
KRQN_397,0.0
KRQN_400,0.0
KRQN_402,0.0
KRQN_404,0.0
KRQN_406,0.0
KRQN_410,0.0
KRQN_420,0.0
KRQN_423,0.0
KRQN_424,0.0
KRQN_427,0.0
KRQN_428,0.0
KRQN_432,0.0
KRQN_437,0.0
KRQN_438,0.0
KRQN_443,0.0
KRQN_444,0.0
KRQN_459,0.0
KRQN_466,0.0
KRQN_469,0.0
KRQN_470,0.0
KRQN_471,0.0
KRQN_472,0.0
KRQN_479,0.0
KRQN_481,0.0
KRQN_483,0.0
KRQN_487,0.0
KRQN_488,0.0
KRQN_489,0.0
KRQN_491,0.0
KRQN_493,0.0
KRQN_499,0.0
KRQN_506,0.0
KRQN_507,0.0
KRQN_511,0.0
KRQN_515,0.0
KRQN_518,0.0
KRQN_522,0.0
KRQN_525,0.0
KRQN_528,0.0
KRQN_530,0.0
KRQN_532,0.0
KRQN_534,0.0
KRQN_553,0.0
KRQN_557,0.0
KRQN_566,0.0
KRQN_568,0.0
KRQN_572,0.0
KRQN_575,0.0
KRQN_576,0.0
KRQN_577,0.0
KRQN_586,0.0
KRQN_594,0.0
KRQN_597,0.0
KRQN_601,0.0
KRQN_604,0.0
KRQN_605,0.0
KRQN_606,0.0
KRQN_611,0.0
KRQN_613,0.0
KRQN_615,0.0
KRQN_619,0.0
KRQN_620,0.0
KRQN_621,0.0
KRQN_627,0.0
KRQN_637,0.0
KRQN_652,0.0
KRQN_656,0.0
KRQN_658,0.0
KRQN_662,0.0
KRQN_663,0.0
KRQN_665,0.0
KRQN_666,0.0
KRQN_670,0.0
