,0
DEYH_0,0.0
DEYH_70,0.0
DEYH_192,0.0
DEYH_200,0.0
DEYH_274,0.0
DEYH_288,0.0
DEYH_310,0.0
DEYH_350,0.0
DEYH_354,0.0
DEYH_382,0.0
DEYH_383,0.0
DEYH_405,0.0
DEYH_406,0.0
DEYH_417,0.0
DEYH_449,0.0
DEYH_505,0.0
DEYH_552,0.0
DEYH_568,0.0
DEYH_697,0.0
DEYH_701,0.0
DEYH_733,0.0
DEYH_741,0.0
DEYH_793,0.0
DEYH_806,0.0
DEYH_818,0.0
DEYH_820,0.0
DEYH_836,0.0
DEYH_913,0.0
DEYH_929,0.0
DEYH_1056,0.0
DEYH_1069,0.0
DEYH_1099,0.0
DEYH_1174,0.0
DEYH_1269,0.0
DEYH_1395,0.0
DEYH_1418,0.0
DEYH_1429,0.0
DEYH_1479,0.0
DEYH_1489,0.0
DEYH_1490,0.0
DEYH_1491,0.0
DEYH_1508,0.0
DEYH_1513,0.0
DEYH_1528,0.0
DEYH_1632,0.0
DEYH_1672,0.0
DEYH_1686,0.0
DEYH_1725,0.0
DEYH_1749,0.0
DEYH_1768,0.0
DEYH_1775,0.0
DEYH_1779,0.0
DEYH_1853,0.0
DEYH_1873,0.0
DEYH_1876,0.0
DEYH_1891,0.0
DEYH_1915,0.0
DEYH_1931,0.0
DEYH_1974,0.0
DEYH_2033,0.0
DEYH_2046,0.0
DEYH_2055,0.0
DEYH_2090,0.0
DEYH_2100,0.0
DEYH_2103,0.0
DEYH_2150,0.0
DEYH_2195,0.0
DEYH_2208,0.0
DEYH_2246,0.0
DEYH_2317,0.0
DEYH_2321,0.0
DEYH_2322,0.0
DEYH_2329,0.0
DEYH_2354,0.0
DEYH_2355,0.0
DEYH_2366,0.0
DEYH_2426,0.0
DEYH_2436,0.0
DEYH_2445,0.0
DEYH_2461,0.0
DEYH_2525,0.0
DEYH_2581,0.0
DEYH_2600,0.0
DEYH_2602,0.0
DEYH_2612,0.0
DEYH_2614,0.0
DEYH_2619,0.0
DEYH_2636,0.0
DEYH_2638,0.0
DEYH_2690,0.0
DEYH_2714,0.0
DEYH_2730,0.0
DEYH_2762,0.0
DEYH_2771,0.0
DEYH_2787,0.0
DEYH_2800,0.0
DEYH_2819,0.0
DEYH_2864,0.0
DEYH_2879,0.0
DEYH_2898,0.0
DEYH_2914,0.0
DEYH_2926,0.0
DEYH_2985,0.0
DEYH_3000,0.0
DEYH_3006,0.0
DEYH_3057,0.0
DEYH_3081,0.0
DEYH_3156,0.0
DEYH_3169,0.0
DEYH_3329,0.0
DEYH_3351,0.0
DEYH_3378,0.0
DEYH_3394,0.0
DEYH_3405,0.0
DEYH_3415,0.0
DEYH_3436,0.0
DEYH_3450,0.0
DEYH_3455,0.0
DEYH_3486,0.0
DEYH_3497,0.0
DEYH_3518,0.0
DEYH_3548,0.0
DEYH_3550,0.0
DEYH_3572,0.0
DEYH_3576,0.0
DEYH_3641,0.0
DEYH_3646,0.0
DEYH_3669,0.0
DEYH_3698,0.0
DEYH_3811,0.0
DEYH_3870,0.0
DEYH_3877,0.0
DEYH_3895,0.0
DEYH_3917,0.0
DEYH_3959,0.0
DEYH_3968,0.0
DEYH_3986,0.0
DEYH_4043,0.0
DEYH_4091,0.0
DEYH_4105,0.0
DEYH_4161,0.0
DEYH_4166,0.0
DEYH_4172,0.0
DEYH_4181,0.0
DEYH_4207,0.0
DEYH_4222,0.0
DEYH_4233,0.0
DEYH_4234,0.0
DEYH_4238,0.0
DEYH_4245,0.0
DEYH_4246,0.0
DEYH_4266,0.0
DEYH_4298,0.0
DEYH_4307,0.0
DEYH_4330,0.0
DEYH_4360,0.0
DEYH_4365,0.0
DEYH_4376,0.0
DEYH_4439,0.0
DEYH_4448,0.0
DEYH_4455,0.0
DEYH_4499,0.0
DEYH_4503,0.0
DEYH_4517,0.0
DEYH_4530,0.0
DEYH_4565,0.0
DEYH_4573,0.0
DEYH_4640,0.0
DEYH_4698,0.0
DEYH_4730,0.0
DEYH_4764,0.0
DEYH_4775,0.0
DEYH_4808,0.0
DEYH_4812,0.0
DEYH_4824,0.0
DEYH_4873,0.0
DEYH_4898,0.0
DEYH_4959,0.0
DEYH_4990,0.0
DEYH_4997,0.0
KRQN_10,0.0
KRQN_69,0.0
KRQN_97,0.0
KRQN_198,0.0
KRQN_215,0.0
KRQN_229,0.0
KRQN_233,0.0
KRQN_244,0.0
KRQN_312,0.0
KRQN_317,0.0
KRQN_318,0.0
KRQN_358,0.0
KRQN_359,0.0
KRQN_368,0.0
KRQN_377,0.0
KRQN_399,0.0
