,0
DEYH_0,0.0
DEYH_63,0.0
DEYH_70,0.0
DEYH_200,0.0
DEYH_274,0.0
DEYH_288,0.0
DEYH_310,0.0
DEYH_321,0.0
DEYH_350,0.0
DEYH_354,0.0
DEYH_382,0.0
DEYH_383,0.0
DEYH_405,0.0
DEYH_417,0.0
DEYH_449,0.0
DEYH_484,0.0
DEYH_548,0.0
DEYH_611,0.0
DEYH_620,0.0
DEYH_674,0.0
DEYH_741,0.0
DEYH_761,0.0
DEYH_793,0.0
DEYH_818,0.0
DEYH_820,0.0
DEYH_836,0.0
DEYH_913,0.0
DEYH_929,0.0
DEYH_988,0.0
DEYH_1026,0.0
DEYH_1080,0.0
DEYH_1114,0.0
DEYH_1122,0.0
DEYH_1132,0.0
DEYH_1169,0.0
DEYH_1269,0.0
DEYH_1292,0.0
DEYH_1309,0.0
DEYH_1326,0.0
DEYH_1429,0.0
DEYH_1476,0.0
DEYH_1479,0.0
DEYH_1490,0.0
DEYH_1491,0.0
DEYH_1507,0.0
DEYH_1521,0.0
DEYH_1523,0.0
DEYH_1528,0.0
DEYH_1548,0.0
DEYH_1615,0.0
DEYH_1628,0.0
DEYH_1725,0.0
DEYH_1734,0.0
DEYH_1744,0.0
DEYH_1768,0.0
DEYH_1779,0.0
DEYH_1862,0.0
DEYH_1873,0.0
DEYH_1880,0.0
DEYH_1884,0.0
DEYH_1891,0.0
DEYH_1907,0.0
DEYH_1931,0.0
DEYH_1939,0.0
DEYH_1958,0.0
DEYH_1974,0.0
DEYH_2020,0.0
DEYH_2033,0.0
DEYH_2046,0.0
DEYH_2055,0.0
DEYH_2059,0.0
DEYH_2103,0.0
DEYH_2127,0.0
DEYH_2142,0.0
DEYH_2150,0.0
DEYH_2193,0.0
DEYH_2208,0.0
DEYH_2246,0.0
DEYH_2281,0.0
DEYH_2317,0.0
DEYH_2322,0.0
DEYH_2347,0.0
DEYH_2349,0.0
DEYH_2354,0.0
DEYH_2355,0.0
DEYH_2366,0.0
DEYH_2377,0.0
DEYH_2396,0.0
DEYH_2407,0.0
DEYH_2417,0.0
DEYH_2426,0.0
DEYH_2436,0.0
DEYH_2445,0.0
