,0
DEYH_1725,0.0
DEYH_2864,0.0
DEYH_4376,0.0
KRQN_668,0.0
Rand_311,0.0
Rand_727,0.0
Rand_1550,0.0
Rand_2044,0.0
Rand_2889,0.0
Rand_2926,0.0
Rand_3022,0.0
Rand_3112,0.0
Rand_3214,0.0
Rand_3301,0.0
Rand_3816,0.0
Rand_4060,0.0
Rand_4251,0.0
Rand_4504,0.0
Rand_4673,0.0
Rand_4783,0.0
Rand_4987,0.0
DEYH_4080,1.0
KRQN_1770,1.0
KRQN_2346,1.0
KRQN_2672,1.0
KRQN_3639,1.0
KRQN_4989,1.0
Rand_280,1.0
Rand_317,1.0
Rand_368,1.0
Rand_1575,1.0
Rand_1588,1.0
Rand_3905,1.0
DEYH_273,2.0
KRQN_599,2.0
Rand_19,2.0
Rand_334,2.0
Rand_506,2.0
Rand_909,2.0
Rand_928,2.0
Rand_1710,2.0
Rand_1782,2.0
Rand_1873,2.0
Rand_2399,2.0
Rand_2454,2.0
Rand_2497,2.0
Rand_2766,2.0
Rand_3192,2.0
Rand_3373,2.0
Rand_3375,2.0
Rand_3556,2.0
Rand_3902,2.0
Rand_4261,2.0
Rand_4388,2.0
KRQN_314,3.0
KRQN_2242,3.0
KRQN_2902,3.0
KRQN_3559,3.0
KRQN_4224,3.0
KRQN_4381,3.0
Rand_77,3.0
Rand_315,3.0
Rand_810,3.0
Rand_1486,3.0
Rand_1733,3.0
Rand_1764,3.0
Rand_2009,3.0
Rand_2420,3.0
Rand_3428,3.0
Rand_3688,3.0
Rand_3926,3.0
Rand_4453,3.0
Rand_4482,3.0
KRQN_14,4.0
KRQN_206,4.0
KRQN_722,4.0
KRQN_969,4.0
KRQN_1595,4.0
KRQN_1813,4.0
KRQN_2012,4.0
KRQN_2023,4.0
KRQN_2108,4.0
KRQN_2127,4.0
KRQN_2466,4.0
KRQN_2804,4.0
KRQN_2990,4.0
KRQN_2995,4.0
KRQN_3001,4.0
KRQN_3037,4.0
KRQN_3518,4.0
KRQN_3871,4.0
KRQN_4256,4.0
KRQN_4426,4.0
Rand_2102,4.0
Rand_2220,4.0
Rand_476,5.0
Rand_761,5.0
Rand_970,5.0
Rand_1757,5.0
Rand_1927,5.0
Rand_2386,5.0
Rand_2673,5.0
Rand_3023,5.0
Rand_3776,5.0
Rand_4294,5.0
Rand_4518,5.0
Rand_4577,5.0
KRQN_34,6.0
KRQN_270,6.0
KRQN_631,6.0
KRQN_655,6.0
KRQN_756,6.0
KRQN_1667,6.0
KRQN_1989,6.0
KRQN_2003,6.0
KRQN_2354,6.0
KRQN_2808,6.0
KRQN_2943,6.0
KRQN_3089,6.0
KRQN_3411,6.0
KRQN_4067,6.0
KRQN_4130,6.0
KRQN_4137,6.0
KRQN_4589,6.0
Rand_117,6.0
Rand_2346,6.0
Rand_2501,6.0
Rand_2532,6.0
Rand_3614,6.0
KRQN_886,7.0
KRQN_915,7.0
KRQN_1068,7.0
KRQN_1085,7.0
KRQN_1944,7.0
KRQN_2053,7.0
KRQN_2470,7.0
KRQN_2639,7.0
KRQN_2674,7.0
KRQN_2701,7.0
KRQN_2718,7.0
KRQN_2838,7.0
KRQN_2883,7.0
KRQN_2982,7.0
KRQN_3490,7.0
KRQN_4644,7.0
KRQN_4700,7.0
KRQN_4769,7.0
KRQN_4928,7.0
Rand_3380,7.0
Rand_4656,7.0
DEYH_3008,8.0
KRQN_441,8.0
KRQN_3370,8.0
KRQN_4041,8.0
KRQN_4908,8.0
KRQN_4932,8.0
Rand_1474,8.0
Rand_2822,8.0
Rand_2929,8.0
Rand_3208,8.0
Rand_3587,8.0
Rand_4967,8.0
KRQN_101,9.0
KRQN_705,9.0
KRQN_812,9.0
KRQN_954,9.0
KRQN_1356,9.0
KRQN_1503,9.0
KRQN_1637,9.0
KRQN_1968,9.0
KRQN_2159,9.0
KRQN_2258,9.0
KRQN_2501,9.0
KRQN_2523,9.0
KRQN_2525,9.0
KRQN_2770,9.0
KRQN_3275,9.0
KRQN_3321,9.0
KRQN_4115,9.0
KRQN_4494,9.0
KRQN_4719,9.0
KRQN_4734,9.0
KRQN_4981,9.0
Rand_4170,9.0
KRQN_1189,10.0
KRQN_1495,10.0
KRQN_1658,10.0
KRQN_2280,10.0
KRQN_2846,10.0
KRQN_2989,10.0
KRQN_3445,10.0
KRQN_3486,10.0
KRQN_3825,10.0
KRQN_4213,10.0
KRQN_4286,10.0
KRQN_4736,10.0
KRQN_240,11.0
KRQN_448,11.0
KRQN_498,11.0
KRQN_1418,11.0
KRQN_1558,11.0
KRQN_1893,11.0
KRQN_2445,11.0
KRQN_2545,11.0
KRQN_2664,11.0
KRQN_2706,11.0
KRQN_2735,11.0
KRQN_2850,11.0
KRQN_4669,11.0
Rand_1762,11.0
KRQN_23,12.0
KRQN_910,12.0
KRQN_1332,12.0
KRQN_1477,12.0
Rand_859,12.0
Rand_1633,12.0
Rand_1696,12.0
Rand_1891,12.0
Rand_2008,12.0
Rand_3151,12.0
Rand_3295,12.0
Rand_3699,12.0
Rand_3928,12.0
Rand_4120,12.0
Rand_4221,12.0
Rand_4445,12.0
KRQN_308,13.0
KRQN_850,13.0
KRQN_858,13.0
KRQN_1578,13.0
KRQN_2107,13.0
KRQN_2457,13.0
KRQN_2785,13.0
KRQN_2944,13.0
KRQN_3961,13.0
KRQN_4004,13.0
KRQN_4120,13.0
KRQN_4351,13.0
KRQN_4469,13.0
KRQN_4638,13.0
KRQN_4670,13.0
KRQN_4802,13.0
KRQN_4903,13.0
Rand_1730,13.0
Rand_4401,13.0
KRQN_283,14.0
KRQN_1542,14.0
KRQN_2007,14.0
KRQN_2459,14.0
KRQN_3517,14.0
KRQN_3597,14.0
KRQN_3785,14.0
KRQN_4851,14.0
KRQN_4994,14.0
Rand_3763,14.0
KRQN_8,15.0
KRQN_131,15.0
KRQN_973,15.0
KRQN_1636,15.0
KRQN_1651,15.0
KRQN_1750,15.0
KRQN_2345,15.0
KRQN_3080,15.0
KRQN_3199,15.0
KRQN_3694,15.0
KRQN_4026,15.0
KRQN_4119,15.0
KRQN_4714,15.0
KRQN_4800,15.0
KRQN_4897,15.0
Rand_4417,15.0
KRQN_984,16.0
KRQN_1452,16.0
KRQN_2028,16.0
KRQN_2297,16.0
KRQN_2699,16.0
KRQN_3186,16.0
KRQN_3234,16.0
KRQN_3553,16.0
KRQN_3609,16.0
KRQN_3930,16.0
KRQN_4081,16.0
Rand_325,16.0
Rand_904,16.0
Rand_1101,16.0
Rand_3838,16.0
Rand_3875,16.0
KRQN_41,17.0
KRQN_130,17.0
KRQN_310,17.0
KRQN_1212,17.0
KRQN_1493,17.0
KRQN_1609,17.0
KRQN_2075,17.0
KRQN_2565,17.0
KRQN_2749,17.0
KRQN_2884,17.0
KRQN_2963,17.0
KRQN_3061,17.0
KRQN_3150,17.0
KRQN_3300,17.0
KRQN_3325,17.0
KRQN_3480,17.0
KRQN_3506,17.0
KRQN_3582,17.0
KRQN_3726,17.0
KRQN_3935,17.0
KRQN_4114,17.0
DEYH_2455,18.0
KRQN_356,18.0
KRQN_616,18.0
KRQN_623,18.0
KRQN_779,18.0
KRQN_796,18.0
KRQN_1599,18.0
KRQN_2887,18.0
KRQN_3719,18.0
KRQN_4463,18.0
KRQN_4562,18.0
KRQN_4773,18.0
KRQN_4906,18.0
Rand_367,18.0
Rand_4410,18.0
KRQN_77,19.0
KRQN_364,19.0
KRQN_1206,19.0
KRQN_1350,19.0
KRQN_1569,19.0
KRQN_1706,19.0
KRQN_1757,19.0
KRQN_2781,19.0
KRQN_2792,19.0
KRQN_2832,19.0
KRQN_3236,19.0
KRQN_3375,19.0
KRQN_4442,19.0
Rand_2746,19.0
KRQN_564,20.0
KRQN_565,20.0
KRQN_790,20.0
KRQN_2076,20.0
KRQN_2301,20.0
KRQN_3610,20.0
KRQN_3828,20.0
KRQN_4065,20.0
KRQN_4150,20.0
KRQN_4331,20.0
KRQN_4788,20.0
Rand_1002,20.0
Rand_1095,20.0
Rand_3913,20.0
Rand_4645,20.0
KRQN_144,21.0
KRQN_197,21.0
KRQN_211,21.0
KRQN_253,21.0
KRQN_296,21.0
KRQN_430,21.0
KRQN_496,21.0
KRQN_762,21.0
KRQN_809,21.0
KRQN_991,21.0
KRQN_1382,21.0
KRQN_1439,21.0
KRQN_1705,21.0
KRQN_1922,21.0
KRQN_1984,21.0
KRQN_2128,21.0
KRQN_2134,21.0
KRQN_2207,21.0
KRQN_2215,21.0
KRQN_2533,21.0
KRQN_2603,21.0
KRQN_2740,21.0
KRQN_2847,21.0
KRQN_3166,21.0
KRQN_3218,21.0
KRQN_3225,21.0
KRQN_3448,21.0
KRQN_3865,21.0
KRQN_3902,21.0
KRQN_3909,21.0
KRQN_4204,21.0
KRQN_4532,21.0
Rand_2017,21.0
KRQN_435,22.0
KRQN_537,22.0
KRQN_710,22.0
KRQN_882,22.0
KRQN_889,22.0
KRQN_1051,22.0
KRQN_1227,22.0
KRQN_1259,22.0
KRQN_1491,22.0
KRQN_1508,22.0
KRQN_1756,22.0
KRQN_2289,22.0
KRQN_3682,22.0
KRQN_3896,22.0
KRQN_4153,22.0
KRQN_4242,22.0
KRQN_4296,22.0
KRQN_4428,22.0
KRQN_4445,22.0
KRQN_4610,22.0
KRQN_4863,22.0
Rand_158,22.0
KRQN_18,23.0
KRQN_706,23.0
KRQN_816,23.0
KRQN_1195,23.0
KRQN_1970,23.0
KRQN_2030,23.0
KRQN_2118,23.0
KRQN_2458,23.0
KRQN_2779,23.0
KRQN_3184,23.0
KRQN_3393,23.0
KRQN_3666,23.0
KRQN_3688,23.0
KRQN_3844,23.0
KRQN_4128,23.0
KRQN_4271,23.0
KRQN_4603,23.0
KRQN_4973,23.0
KRQN_4975,23.0
KRQN_187,24.0
KRQN_770,24.0
KRQN_1028,24.0
KRQN_1351,24.0
KRQN_1725,24.0
KRQN_2199,24.0
KRQN_2873,24.0
KRQN_3134,24.0
KRQN_3551,24.0
KRQN_3686,24.0
KRQN_4027,24.0
KRQN_4270,24.0
KRQN_4333,24.0
KRQN_4568,24.0
KRQN_4786,24.0
KRQN_4886,24.0
KRQN_255,25.0
KRQN_920,25.0
KRQN_1237,25.0
KRQN_1628,25.0
KRQN_1892,25.0
KRQN_2282,25.0
KRQN_2386,25.0
KRQN_2506,25.0
KRQN_2550,25.0
KRQN_2893,25.0
KRQN_3021,25.0
KRQN_3056,25.0
KRQN_3156,25.0
KRQN_3272,25.0
KRQN_3327,25.0
KRQN_3742,25.0
KRQN_3781,25.0
KRQN_4181,25.0
KRQN_4243,25.0
KRQN_4277,25.0
KRQN_4403,25.0
KRQN_4986,25.0
KRQN_375,26.0
KRQN_514,26.0
KRQN_520,26.0
KRQN_938,26.0
KRQN_948,26.0
KRQN_1084,26.0
KRQN_1455,26.0
KRQN_1688,26.0
KRQN_1943,26.0
KRQN_2904,26.0
KRQN_3187,26.0
KRQN_3692,26.0
KRQN_3979,26.0
KRQN_4345,26.0
KRQN_4601,26.0
KRQN_4725,26.0
KRQN_4933,26.0
Rand_1393,26.0
Rand_2449,26.0
Rand_3754,26.0
Rand_3853,26.0
Rand_4092,26.0
Rand_4505,26.0
Rand_4770,26.0
KRQN_4322,27.0
Rand_558,27.0
Rand_658,27.0
Rand_905,27.0
Rand_963,27.0
Rand_996,27.0
Rand_1200,27.0
Rand_1528,27.0
Rand_2001,27.0
Rand_2065,27.0
Rand_2788,27.0
Rand_3983,27.0
Rand_4066,27.0
Rand_4328,27.0
Rand_4433,27.0
Rand_4724,27.0
DEYH_1173,28.0
KRQN_3834,28.0
Rand_318,28.0
Rand_441,28.0
Rand_1341,28.0
Rand_1492,28.0
Rand_1556,28.0
Rand_1718,28.0
Rand_2027,28.0
Rand_2331,28.0
Rand_2493,28.0
Rand_2634,28.0
Rand_2976,28.0
Rand_3560,28.0
Rand_3596,28.0
Rand_3635,28.0
Rand_3666,28.0
Rand_3724,28.0
Rand_4205,28.0
Rand_4468,28.0
Rand_4683,28.0
Rand_4946,28.0
KRQN_4405,29.0
Rand_781,29.0
Rand_785,29.0
Rand_1317,29.0
Rand_2591,29.0
Rand_2669,29.0
Rand_3016,29.0
Rand_3108,29.0
Rand_3390,29.0
Rand_3785,29.0
Rand_3824,29.0
Rand_3864,29.0
Rand_4249,29.0
Rand_4400,29.0
Rand_4581,29.0
Rand_4612,29.0
Rand_4738,29.0
Rand_4740,29.0
Rand_631,30.0
Rand_1067,30.0
Rand_1202,30.0
Rand_1244,30.0
Rand_1344,30.0
Rand_1383,30.0
Rand_2471,30.0
Rand_2986,30.0
Rand_3005,30.0
Rand_4614,30.0
Rand_4969,30.0
DEYH_331,31.0
DEYH_3953,31.0
KRQN_1409,31.0
KRQN_1552,31.0
KRQN_1729,31.0
Rand_137,31.0
Rand_379,31.0
Rand_409,31.0
Rand_417,31.0
Rand_425,31.0
Rand_602,31.0
Rand_843,31.0
Rand_1214,31.0
Rand_1271,31.0
Rand_1340,31.0
Rand_1478,31.0
Rand_1561,31.0
Rand_1897,31.0
Rand_2035,31.0
Rand_2099,31.0
Rand_2249,31.0
Rand_2330,31.0
Rand_2792,31.0
Rand_2867,31.0
Rand_2930,31.0
Rand_3028,31.0
Rand_3057,31.0
Rand_3153,31.0
Rand_3509,31.0
Rand_4040,31.0
Rand_4113,31.0
Rand_4267,31.0
Rand_4283,31.0
Rand_4336,31.0
