,0
DEYH_31,0.0
DEYH_1115,0.0
DEYH_3542,0.0
DEYH_3701,0.0
KRQN_446,0.0
KRQN_1016,0.0
KRQN_1283,0.0
KRQN_3162,0.0
KRQN_3568,0.0
Rand_354,0.0
Rand_1517,0.0
Rand_1715,0.0
Rand_2048,0.0
DEYH_32,1.0
DEYH_863,1.0
DEYH_2662,1.0
DEYH_3193,1.0
DEYH_3536,1.0
DEYH_4679,1.0
DEYH_4734,1.0
DEYH_4787,1.0
DEYH_4832,1.0
KRQN_2335,1.0
Rand_623,1.0
Rand_2417,1.0
Rand_3334,1.0
Rand_3963,1.0
Rand_4519,1.0
DEYH_56,2.0
DEYH_182,2.0
DEYH_1381,2.0
DEYH_2344,2.0
DEYH_2742,2.0
DEYH_4174,2.0
DEYH_64,3.0
DEYH_789,3.0
DEYH_2069,3.0
DEYH_3668,3.0
KRQN_583,3.0
KRQN_2025,3.0
KRQN_2480,3.0
KRQN_3499,3.0
KRQN_4805,3.0
Rand_270,3.0
Rand_434,3.0
Rand_583,3.0
Rand_1615,3.0
Rand_1877,3.0
Rand_3440,3.0
DEYH_84,4.0
DEYH_517,4.0
DEYH_718,4.0
DEYH_939,4.0
DEYH_3200,4.0
DEYH_3201,4.0
DEYH_3419,4.0
DEYH_4227,4.0
KRQN_365,4.0
KRQN_548,4.0
KRQN_778,4.0
KRQN_788,4.0
KRQN_1854,4.0
KRQN_2378,4.0
KRQN_2855,4.0
KRQN_2972,4.0
KRQN_3278,4.0
Rand_801,4.0
Rand_1115,4.0
Rand_1209,4.0
Rand_1439,4.0
Rand_1449,4.0
Rand_1639,4.0
Rand_1805,4.0
Rand_2196,4.0
Rand_2210,4.0
Rand_2510,4.0
Rand_4776,4.0
Rand_4878,4.0
DEYH_100,5.0
DEYH_587,5.0
Rand_97,5.0
Rand_3258,5.0
Rand_3919,5.0
DEYH_110,6.0
DEYH_228,6.0
DEYH_312,6.0
DEYH_1267,6.0
DEYH_2161,6.0
DEYH_2666,6.0
DEYH_4182,6.0
DEYH_4816,6.0
KRQN_35,6.0
KRQN_390,6.0
KRQN_680,6.0
KRQN_1500,6.0
KRQN_1682,6.0
KRQN_2081,6.0
KRQN_3055,6.0
KRQN_3890,6.0
KRQN_3967,6.0
KRQN_3982,6.0
KRQN_4080,6.0
KRQN_4259,6.0
KRQN_4261,6.0
Rand_825,6.0
Rand_1181,6.0
Rand_1361,6.0
Rand_1629,6.0
Rand_2182,6.0
Rand_2279,6.0
Rand_3409,6.0
Rand_3448,6.0
Rand_4005,6.0
Rand_4306,6.0
Rand_4681,6.0
DEYH_136,7.0
DEYH_1985,7.0
KRQN_431,7.0
KRQN_859,7.0
KRQN_4089,7.0
Rand_424,7.0
DEYH_162,8.0
DEYH_2753,8.0
DEYH_3449,8.0
DEYH_3816,8.0
KRQN_36,8.0
KRQN_106,8.0
KRQN_1346,8.0
DEYH_166,9.0
DEYH_987,9.0
DEYH_1675,9.0
DEYH_1811,9.0
DEYH_3030,9.0
DEYH_3752,9.0
KRQN_4192,9.0
KRQN_4227,9.0
Rand_676,9.0
Rand_994,9.0
DEYH_170,10.0
DEYH_375,10.0
DEYH_451,10.0
DEYH_684,10.0
DEYH_824,10.0
DEYH_1251,10.0
DEYH_1682,10.0
DEYH_4370,10.0
DEYH_4985,10.0
KRQN_135,10.0
Rand_738,10.0
Rand_802,10.0
Rand_1110,10.0
Rand_2109,10.0
Rand_2646,10.0
Rand_3591,10.0
DEYH_208,11.0
KRQN_639,11.0
KRQN_2130,11.0
KRQN_2820,11.0
KRQN_3221,11.0
KRQN_3778,11.0
KRQN_3936,11.0
KRQN_4303,11.0
KRQN_4465,11.0
KRQN_4660,11.0
Rand_4006,11.0
DEYH_214,12.0
DEYH_436,12.0
DEYH_1234,12.0
DEYH_2101,12.0
DEYH_2114,12.0
KRQN_510,12.0
Rand_1694,12.0
DEYH_232,13.0
DEYH_317,13.0
DEYH_412,13.0
DEYH_3214,13.0
KRQN_536,13.0
KRQN_992,13.0
KRQN_1898,13.0
KRQN_2101,13.0
KRQN_3154,13.0
Rand_1767,13.0
Rand_4753,13.0
DEYH_293,14.0
DEYH_1539,14.0
DEYH_1623,14.0
DEYH_2526,14.0
DEYH_4063,14.0
DEYH_4284,14.0
DEYH_4375,14.0
KRQN_268,14.0
KRQN_476,14.0
KRQN_817,14.0
KRQN_1617,14.0
KRQN_3374,14.0
Rand_592,14.0
Rand_1836,14.0
Rand_2073,14.0
Rand_2388,14.0
Rand_2410,14.0
Rand_2484,14.0
Rand_3821,14.0
Rand_4404,14.0
Rand_4511,14.0
DEYH_322,15.0
DEYH_624,15.0
DEYH_966,15.0
DEYH_1229,15.0
DEYH_1999,15.0
DEYH_4004,15.0
Rand_4191,15.0
DEYH_328,16.0
DEYH_559,16.0
DEYH_1642,16.0
DEYH_1833,16.0
DEYH_2136,16.0
DEYH_2489,16.0
KRQN_503,16.0
KRQN_1118,16.0
KRQN_2287,16.0
Rand_109,16.0
Rand_167,16.0
Rand_219,16.0
Rand_2026,16.0
Rand_2716,16.0
Rand_3322,16.0
Rand_3656,16.0
Rand_3859,16.0
DEYH_332,17.0
DEYH_1706,17.0
DEYH_1920,17.0
DEYH_2528,17.0
DEYH_3155,17.0
DEYH_3746,17.0
DEYH_4113,17.0
KRQN_1088,17.0
KRQN_2528,17.0
KRQN_2736,17.0
KRQN_3857,17.0
KRQN_4741,17.0
Rand_1137,17.0
Rand_1812,17.0
Rand_2418,17.0
Rand_2763,17.0
Rand_2921,17.0
Rand_3165,17.0
DEYH_344,18.0
DEYH_581,18.0
DEYH_1467,18.0
DEYH_2082,18.0
DEYH_2375,18.0
DEYH_3760,18.0
DEYH_4377,18.0
Rand_2013,18.0
Rand_4353,18.0
DEYH_371,19.0
DEYH_689,19.0
DEYH_773,19.0
DEYH_1827,19.0
DEYH_2058,19.0
DEYH_2340,19.0
DEYH_2943,19.0
DEYH_4216,19.0
DEYH_4261,19.0
DEYH_435,20.0
DEYH_456,20.0
DEYH_795,20.0
DEYH_1016,20.0
DEYH_4544,20.0
KRQN_1110,20.0
KRQN_2204,20.0
Rand_420,20.0
DEYH_437,21.0
DEYH_832,21.0
DEYH_1451,21.0
KRQN_519,21.0
KRQN_3497,21.0
DEYH_483,22.0
DEYH_3618,22.0
DEYH_3950,22.0
DEYH_4189,22.0
KRQN_1925,22.0
Rand_3923,22.0
DEYH_519,23.0
DEYH_3028,23.0
DEYH_3321,23.0
DEYH_4053,23.0
KRQN_1758,23.0
KRQN_2947,23.0
DEYH_543,24.0
DEYH_1500,24.0
DEYH_2263,24.0
DEYH_2721,24.0
DEYH_3315,24.0
KRQN_3727,24.0
KRQN_4867,24.0
Rand_1051,24.0
Rand_2407,24.0
DEYH_558,25.0
DEYH_750,25.0
KRQN_284,25.0
KRQN_1144,25.0
KRQN_2660,25.0
KRQN_4676,25.0
Rand_321,25.0
DEYH_571,26.0
DEYH_1188,26.0
DEYH_1204,26.0
DEYH_1753,26.0
DEYH_3807,26.0
KRQN_1019,26.0
KRQN_1934,26.0
KRQN_3942,26.0
Rand_1540,26.0
DEYH_606,27.0
DEYH_1520,27.0
DEYH_2561,27.0
DEYH_2567,27.0
DEYH_4842,27.0
Rand_3807,27.0
DEYH_617,28.0
DEYH_1461,28.0
DEYH_1576,28.0
KRQN_642,28.0
KRQN_1018,28.0
DEYH_659,29.0
KRQN_820,29.0
KRQN_2294,29.0
KRQN_2561,29.0
KRQN_4311,29.0
Rand_874,29.0
Rand_1039,29.0
DEYH_710,30.0
DEYH_938,30.0
DEYH_3133,30.0
DEYH_3414,30.0
DEYH_4983,30.0
KRQN_405,30.0
KRQN_1584,30.0
KRQN_2050,30.0
KRQN_2100,30.0
KRQN_3237,30.0
KRQN_3547,30.0
KRQN_3645,30.0
Rand_814,30.0
Rand_1090,30.0
Rand_1850,30.0
DEYH_835,31.0
DEYH_1536,31.0
DEYH_2235,31.0
DEYH_2265,31.0
KRQN_1460,31.0
DEYH_905,32.0
DEYH_1800,32.0
DEYH_2287,32.0
DEYH_4677,32.0
Rand_4057,32.0
Rand_4275,32.0
DEYH_925,33.0
DEYH_1020,33.0
DEYH_3743,33.0
KRQN_1070,33.0
KRQN_2040,33.0
KRQN_2200,33.0
Rand_3368,33.0
DEYH_1061,34.0
DEYH_1086,34.0
DEYH_1145,34.0
DEYH_3324,34.0
DEYH_4972,34.0
KRQN_199,34.0
KRQN_3847,34.0
Rand_2706,34.0
Rand_4654,34.0
DEYH_1065,35.0
DEYH_1231,35.0
DEYH_2146,35.0
DEYH_2934,35.0
DEYH_4570,35.0
KRQN_137,35.0
KRQN_1717,35.0
KRQN_3764,35.0
KRQN_4543,35.0
KRQN_4651,35.0
Rand_1525,35.0
DEYH_1095,36.0
DEYH_1603,36.0
DEYH_2306,36.0
DEYH_3053,36.0
DEYH_3190,36.0
DEYH_3413,36.0
KRQN_1069,36.0
KRQN_4434,36.0
Rand_1760,36.0
Rand_1919,36.0
Rand_3176,36.0
Rand_3916,36.0
Rand_4705,36.0
DEYH_1281,37.0
DEYH_1457,37.0
DEYH_1696,37.0
DEYH_2845,37.0
DEYH_3608,37.0
DEYH_3840,37.0
DEYH_3955,37.0
DEYH_4229,37.0
DEYH_4371,37.0
DEYH_4442,37.0
DEYH_4647,37.0
KRQN_1992,37.0
KRQN_3259,37.0
KRQN_4492,37.0
KRQN_4843,37.0
Rand_218,37.0
Rand_450,37.0
Rand_822,37.0
Rand_1269,37.0
Rand_1348,37.0
Rand_1506,37.0
Rand_2663,37.0
Rand_3291,37.0
Rand_3500,37.0
Rand_3826,37.0
Rand_3998,37.0
Rand_4893,37.0
DEYH_1435,38.0
DEYH_2852,38.0
DEYH_3313,38.0
DEYH_3830,38.0
DEYH_4630,38.0
KRQN_647,38.0
KRQN_1099,38.0
KRQN_1676,38.0
KRQN_4671,38.0
Rand_973,38.0
Rand_2687,38.0
Rand_3434,38.0
DEYH_1483,39.0
DEYH_1608,39.0
DEYH_1717,39.0
DEYH_2062,39.0
DEYH_3074,39.0
DEYH_3666,39.0
DEYH_4421,39.0
DEYH_4431,39.0
DEYH_4748,39.0
KRQN_940,39.0
KRQN_4466,39.0
DEYH_1494,40.0
DEYH_1648,40.0
DEYH_2545,40.0
DEYH_2553,40.0
DEYH_3267,40.0
DEYH_3365,40.0
DEYH_3388,40.0
KRQN_1157,40.0
Rand_1064,40.0
Rand_1330,40.0
Rand_2639,40.0
DEYH_1578,41.0
DEYH_1830,41.0
DEYH_2376,41.0
DEYH_4065,41.0
DEYH_4727,41.0
Rand_1300,41.0
Rand_1862,41.0
Rand_3289,41.0
Rand_3327,41.0
Rand_4361,41.0
DEYH_1673,42.0
DEYH_4070,42.0
KRQN_643,42.0
KRQN_719,42.0
KRQN_1371,42.0
Rand_717,42.0
Rand_2081,42.0
DEYH_1733,43.0
DEYH_1890,43.0
DEYH_2080,43.0
DEYH_2977,43.0
DEYH_3060,43.0
DEYH_3285,43.0
DEYH_3444,43.0
KRQN_2201,43.0
KRQN_3022,43.0
KRQN_3299,43.0
Rand_1584,43.0
Rand_2461,43.0
Rand_3228,43.0
Rand_3624,43.0
Rand_3897,43.0
DEYH_1739,44.0
DEYH_1805,44.0
DEYH_3013,44.0
DEYH_3132,44.0
DEYH_4659,44.0
DEYH_1747,45.0
DEYH_3035,45.0
DEYH_3180,45.0
DEYH_4384,45.0
DEYH_4579,45.0
Rand_4858,45.0
DEYH_2006,46.0
KRQN_239,46.0
KRQN_1547,46.0
KRQN_2741,46.0
KRQN_2878,46.0
KRQN_2965,46.0
