,0
DEYH_0,0.0
DEYH_204,0.0
DEYH_1157,0.0
DEYH_1733,0.0
DEYH_1890,0.0
DEYH_1947,0.0
DEYH_2043,0.0
DEYH_2080,0.0
DEYH_2150,0.0
DEYH_2353,0.0
DEYH_2749,0.0
DEYH_2977,0.0
DEYH_3019,0.0
DEYH_3060,0.0
DEYH_3091,0.0
DEYH_3285,0.0
DEYH_3368,0.0
DEYH_3444,0.0
DEYH_3594,0.0
DEYH_3862,0.0
DEYH_4196,0.0
DEYH_4592,0.0
DEYH_4885,0.0
DEYH_4897,0.0
KRQN_1534,0.0
KRQN_2201,0.0
KRQN_3022,0.0
KRQN_3299,0.0
Rand_394,0.0
Rand_626,0.0
Rand_1283,0.0
Rand_1584,0.0
Rand_1727,0.0
Rand_1837,0.0
Rand_2461,0.0
Rand_2505,0.0
Rand_2730,0.0
Rand_2797,0.0
Rand_3228,0.0
Rand_3435,0.0
Rand_3624,0.0
Rand_3897,0.0
Rand_4254,0.0
Rand_4277,0.0
Rand_4538,0.0
Rand_4669,0.0
Rand_4803,0.0
DEYH_1,1.0
DEYH_4,1.0
DEYH_24,1.0
DEYH_56,1.0
DEYH_94,1.0
DEYH_125,1.0
DEYH_182,1.0
DEYH_189,1.0
DEYH_198,1.0
DEYH_225,1.0
DEYH_243,1.0
DEYH_267,1.0
DEYH_314,1.0
DEYH_401,1.0
DEYH_435,1.0
DEYH_437,1.0
DEYH_438,1.0
DEYH_456,1.0
DEYH_460,1.0
DEYH_505,1.0
DEYH_579,1.0
DEYH_599,1.0
DEYH_607,1.0
DEYH_679,1.0
DEYH_691,1.0
DEYH_692,1.0
DEYH_778,1.0
DEYH_795,1.0
DEYH_832,1.0
DEYH_856,1.0
DEYH_897,1.0
DEYH_971,1.0
DEYH_1006,1.0
DEYH_1012,1.0
DEYH_1016,1.0
DEYH_1018,1.0
DEYH_1049,1.0
DEYH_1060,1.0
DEYH_1100,1.0
DEYH_1111,1.0
DEYH_1117,1.0
DEYH_1127,1.0
DEYH_1177,1.0
DEYH_1209,1.0
DEYH_1221,1.0
DEYH_1246,1.0
DEYH_1283,1.0
DEYH_1318,1.0
DEYH_1381,1.0
DEYH_1424,1.0
DEYH_1451,1.0
DEYH_1476,1.0
DEYH_1538,1.0
DEYH_1591,1.0
DEYH_1632,1.0
DEYH_1635,1.0
DEYH_1643,1.0
DEYH_1676,1.0
DEYH_1777,1.0
DEYH_1794,1.0
DEYH_1816,1.0
DEYH_1903,1.0
DEYH_1915,1.0
DEYH_1925,1.0
DEYH_1929,1.0
DEYH_2072,1.0
DEYH_2125,1.0
DEYH_2134,1.0
DEYH_2185,1.0
DEYH_2199,1.0
DEYH_2292,1.0
DEYH_2323,1.0
DEYH_2344,1.0
DEYH_2345,1.0
DEYH_2425,1.0
DEYH_2466,1.0
DEYH_2484,1.0
DEYH_2569,1.0
DEYH_2650,1.0
DEYH_2726,1.0
DEYH_2732,1.0
DEYH_2742,1.0
DEYH_2798,1.0
DEYH_2806,1.0
DEYH_2807,1.0
DEYH_2844,1.0
DEYH_2851,1.0
DEYH_2873,1.0
DEYH_2874,1.0
DEYH_2953,1.0
DEYH_2983,1.0
DEYH_3014,1.0
DEYH_3031,1.0
DEYH_3044,1.0
DEYH_3076,1.0
DEYH_3105,1.0
DEYH_3121,1.0
DEYH_3124,1.0
DEYH_3184,1.0
DEYH_3192,1.0
DEYH_3233,1.0
DEYH_3262,1.0
DEYH_3304,1.0
DEYH_3306,1.0
DEYH_3345,1.0
DEYH_3364,1.0
DEYH_3392,1.0
DEYH_3415,1.0
DEYH_3433,1.0
DEYH_3503,1.0
DEYH_3528,1.0
DEYH_3577,1.0
DEYH_3651,1.0
DEYH_3771,1.0
DEYH_3785,1.0
DEYH_3824,1.0
DEYH_3895,1.0
DEYH_3939,1.0
DEYH_3998,1.0
DEYH_4010,1.0
DEYH_4013,1.0
DEYH_4060,1.0
DEYH_4098,1.0
DEYH_4174,1.0
DEYH_4183,1.0
DEYH_4201,1.0
DEYH_4207,1.0
DEYH_4209,1.0
DEYH_4233,1.0
DEYH_4244,1.0
DEYH_4273,1.0
DEYH_4280,1.0
DEYH_4319,1.0
DEYH_4334,1.0
DEYH_4362,1.0
DEYH_4400,1.0
DEYH_4472,1.0
DEYH_4523,1.0
DEYH_4544,1.0
DEYH_4617,1.0
DEYH_4636,1.0
DEYH_4653,1.0
DEYH_4729,1.0
DEYH_4743,1.0
DEYH_4757,1.0
DEYH_4763,1.0
DEYH_4810,1.0
DEYH_4888,1.0
DEYH_4957,1.0
KRQN_519,1.0
KRQN_1110,1.0
KRQN_2204,1.0
KRQN_2876,1.0
KRQN_3046,1.0
KRQN_3497,1.0
KRQN_3946,1.0
KRQN_4692,1.0
KRQN_4797,1.0
KRQN_4917,1.0
Rand_192,1.0
Rand_195,1.0
Rand_230,1.0
Rand_268,1.0
Rand_420,1.0
Rand_500,1.0
Rand_510,1.0
Rand_523,1.0
Rand_809,1.0
Rand_860,1.0
Rand_971,1.0
Rand_1167,1.0
Rand_1203,1.0
Rand_1257,1.0
Rand_1557,1.0
Rand_1587,1.0
Rand_1611,1.0
Rand_1724,1.0
Rand_1845,1.0
Rand_2286,1.0
Rand_2321,1.0
Rand_2350,1.0
Rand_2551,1.0
Rand_2576,1.0
Rand_2671,1.0
Rand_2738,1.0
Rand_2775,1.0
Rand_2793,1.0
Rand_2944,1.0
Rand_2975,1.0
Rand_3045,1.0
Rand_3049,1.0
Rand_3067,1.0
Rand_3090,1.0
Rand_3164,1.0
Rand_3317,1.0
Rand_3342,1.0
Rand_3353,1.0
Rand_3537,1.0
Rand_3621,1.0
Rand_3679,1.0
Rand_3767,1.0
Rand_3883,1.0
Rand_3970,1.0
Rand_4049,1.0
Rand_4302,1.0
Rand_4309,1.0
Rand_4333,1.0
Rand_4339,1.0
Rand_4346,1.0
Rand_4591,1.0
Rand_4806,1.0
Rand_4824,1.0
Rand_4872,1.0
DEYH_2,2.0
DEYH_15,2.0
DEYH_96,2.0
DEYH_99,2.0
DEYH_135,2.0
DEYH_146,2.0
DEYH_147,2.0
DEYH_160,2.0
DEYH_171,2.0
DEYH_192,2.0
DEYH_223,2.0
DEYH_240,2.0
DEYH_241,2.0
DEYH_245,2.0
DEYH_247,2.0
DEYH_279,2.0
DEYH_283,2.0
DEYH_346,2.0
DEYH_365,2.0
DEYH_409,2.0
DEYH_419,2.0
DEYH_442,2.0
DEYH_466,2.0
DEYH_515,2.0
DEYH_537,2.0
DEYH_539,2.0
DEYH_560,2.0
DEYH_562,2.0
DEYH_569,2.0
DEYH_593,2.0
DEYH_645,2.0
DEYH_651,2.0
DEYH_683,2.0
DEYH_694,2.0
DEYH_712,2.0
DEYH_729,2.0
DEYH_791,2.0
DEYH_845,2.0
DEYH_849,2.0
DEYH_870,2.0
DEYH_872,2.0
DEYH_888,2.0
DEYH_901,2.0
DEYH_951,2.0
DEYH_954,2.0
DEYH_967,2.0
DEYH_969,2.0
DEYH_998,2.0
DEYH_1024,2.0
DEYH_1079,2.0
DEYH_1081,2.0
DEYH_1084,2.0
DEYH_1133,2.0
DEYH_1134,2.0
DEYH_1137,2.0
DEYH_1199,2.0
DEYH_1200,2.0
DEYH_1236,2.0
DEYH_1243,2.0
DEYH_1249,2.0
DEYH_1284,2.0
DEYH_1298,2.0
DEYH_1321,2.0
DEYH_1391,2.0
DEYH_1397,2.0
DEYH_1404,2.0
DEYH_1425,2.0
DEYH_1537,2.0
DEYH_1552,2.0
DEYH_1566,2.0
DEYH_1587,2.0
DEYH_1589,2.0
DEYH_1615,2.0
DEYH_1625,2.0
DEYH_1652,2.0
DEYH_1667,2.0
DEYH_1680,2.0
DEYH_1699,2.0
DEYH_1718,2.0
DEYH_1722,2.0
DEYH_1750,2.0
DEYH_1779,2.0
DEYH_1791,2.0
DEYH_1796,2.0
DEYH_1802,2.0
DEYH_1813,2.0
DEYH_1818,2.0
DEYH_1844,2.0
DEYH_1889,2.0
DEYH_1894,2.0
DEYH_1918,2.0
DEYH_1923,2.0
DEYH_1948,2.0
DEYH_1958,2.0
DEYH_1984,2.0
DEYH_1987,2.0
DEYH_1998,2.0
DEYH_2021,2.0
DEYH_2033,2.0
DEYH_2040,2.0
DEYH_2055,2.0
DEYH_2061,2.0
DEYH_2076,2.0
DEYH_2081,2.0
DEYH_2139,2.0
DEYH_2156,2.0
DEYH_2202,2.0
DEYH_2257,2.0
DEYH_2272,2.0
DEYH_2281,2.0
DEYH_2390,2.0
DEYH_2414,2.0
DEYH_2417,2.0
DEYH_2433,2.0
DEYH_2436,2.0
DEYH_2442,2.0
DEYH_2479,2.0
DEYH_2503,2.0
DEYH_2506,2.0
DEYH_2520,2.0
DEYH_2525,2.0
DEYH_2536,2.0
DEYH_2542,2.0
DEYH_2544,2.0
DEYH_2571,2.0
DEYH_2633,2.0
DEYH_2638,2.0
DEYH_2639,2.0
DEYH_2643,2.0
DEYH_2678,2.0
DEYH_2697,2.0
DEYH_2702,2.0
DEYH_2711,2.0
DEYH_2725,2.0
DEYH_2747,2.0
DEYH_2766,2.0
DEYH_2804,2.0
DEYH_2865,2.0
DEYH_2894,2.0
DEYH_2903,2.0
DEYH_2929,2.0
DEYH_2954,2.0
DEYH_2976,2.0
DEYH_2995,2.0
DEYH_3001,2.0
DEYH_3010,2.0
DEYH_3099,2.0
DEYH_3150,2.0
DEYH_3191,2.0
DEYH_3196,2.0
DEYH_3230,2.0
DEYH_3231,2.0
DEYH_3271,2.0
DEYH_3278,2.0
DEYH_3295,2.0
DEYH_3296,2.0
DEYH_3326,2.0
DEYH_3363,2.0
DEYH_3380,2.0
DEYH_3434,2.0
DEYH_3436,2.0
DEYH_3450,2.0
