,0
DEYH_0,0.0
DEYH_2771,0.0
DEYH_3812,0.0
DEYH_4518,0.0
DEYH_4812,0.0
KRQN_1112,0.0
Rand_496,0.0
DEYH_1,1.0
DEYH_24,1.0
DEYH_185,1.0
DEYH_213,1.0
DEYH_284,1.0
DEYH_433,1.0
DEYH_533,1.0
DEYH_740,1.0
DEYH_873,1.0
DEYH_877,1.0
DEYH_1100,1.0
DEYH_1143,1.0
DEYH_1178,1.0
DEYH_1253,1.0
DEYH_1274,1.0
DEYH_1362,1.0
DEYH_1374,1.0
DEYH_1378,1.0
DEYH_1434,1.0
DEYH_1462,1.0
DEYH_1592,1.0
DEYH_1598,1.0
DEYH_1751,1.0
DEYH_1903,1.0
DEYH_1921,1.0
DEYH_1983,1.0
DEYH_2163,1.0
DEYH_2186,1.0
DEYH_2312,1.0
DEYH_2365,1.0
DEYH_2484,1.0
DEYH_2524,1.0
DEYH_2726,1.0
DEYH_2758,1.0
DEYH_2835,1.0
DEYH_2882,1.0
DEYH_2964,1.0
DEYH_3022,1.0
DEYH_3050,1.0
DEYH_3801,1.0
DEYH_3943,1.0
DEYH_3974,1.0
DEYH_3991,1.0
DEYH_4057,1.0
DEYH_4115,1.0
DEYH_4142,1.0
DEYH_4155,1.0
DEYH_4180,1.0
DEYH_4523,1.0
DEYH_4743,1.0
DEYH_4973,1.0
KRQN_58,1.0
KRQN_86,1.0
KRQN_108,1.0
KRQN_128,1.0
KRQN_175,1.0
KRQN_189,1.0
KRQN_209,1.0
KRQN_230,1.0
KRQN_248,1.0
KRQN_256,1.0
KRQN_426,1.0
KRQN_703,1.0
KRQN_934,1.0
KRQN_1173,1.0
KRQN_1250,1.0
KRQN_1302,1.0
KRQN_1445,1.0
KRQN_1544,1.0
KRQN_1635,1.0
KRQN_1736,1.0
KRQN_2031,1.0
KRQN_2112,1.0
KRQN_2168,1.0
KRQN_2401,1.0
KRQN_2539,1.0
KRQN_2651,1.0
KRQN_2732,1.0
KRQN_2810,1.0
KRQN_2841,1.0
KRQN_2845,1.0
KRQN_3029,1.0
KRQN_3142,1.0
KRQN_3163,1.0
KRQN_3176,1.0
KRQN_3258,1.0
KRQN_3264,1.0
KRQN_3381,1.0
KRQN_3485,1.0
KRQN_3638,1.0
KRQN_3685,1.0
KRQN_3791,1.0
KRQN_3912,1.0
KRQN_4006,1.0
KRQN_4059,1.0
KRQN_4086,1.0
KRQN_4230,1.0
KRQN_4258,1.0
KRQN_4599,1.0
KRQN_4605,1.0
KRQN_4631,1.0
KRQN_4691,1.0
KRQN_4696,1.0
KRQN_4751,1.0
KRQN_4795,1.0
KRQN_4820,1.0
KRQN_4837,1.0
KRQN_4929,1.0
KRQN_4947,1.0
KRQN_4955,1.0
Rand_55,1.0
Rand_82,1.0
Rand_107,1.0
Rand_337,1.0
Rand_459,1.0
Rand_466,1.0
Rand_505,1.0
Rand_649,1.0
Rand_709,1.0
Rand_754,1.0
Rand_819,1.0
Rand_827,1.0
Rand_834,1.0
Rand_855,1.0
Rand_915,1.0
Rand_940,1.0
Rand_960,1.0
Rand_1057,1.0
Rand_1068,1.0
Rand_1096,1.0
Rand_1166,1.0
Rand_1167,1.0
Rand_1249,1.0
Rand_1363,1.0
Rand_1427,1.0
Rand_1654,1.0
Rand_1657,1.0
Rand_1658,1.0
Rand_1681,1.0
Rand_1716,1.0
Rand_1747,1.0
Rand_1761,1.0
Rand_1945,1.0
Rand_2144,1.0
Rand_2218,1.0
Rand_2240,1.0
Rand_2326,1.0
Rand_2668,1.0
Rand_2712,1.0
Rand_2785,1.0
Rand_2826,1.0
Rand_2873,1.0
Rand_2877,1.0
Rand_2882,1.0
Rand_2958,1.0
Rand_2974,1.0
Rand_2975,1.0
Rand_3013,1.0
Rand_3065,1.0
Rand_3091,1.0
Rand_3362,1.0
Rand_3420,1.0
Rand_3469,1.0
Rand_3506,1.0
Rand_3567,1.0
Rand_3581,1.0
Rand_3659,1.0
Rand_3696,1.0
Rand_3713,1.0
Rand_3771,1.0
Rand_3914,1.0
Rand_3949,1.0
Rand_3965,1.0
Rand_3977,1.0
Rand_4042,1.0
Rand_4189,1.0
Rand_4199,1.0
Rand_4210,1.0
Rand_4262,1.0
Rand_4318,1.0
Rand_4320,1.0
Rand_4367,1.0
Rand_4384,1.0
Rand_4439,1.0
Rand_4449,1.0
Rand_4459,1.0
Rand_4636,1.0
Rand_4789,1.0
Rand_4798,1.0
Rand_4922,1.0
Rand_4990,1.0
DEYH_3,2.0
DEYH_42,2.0
DEYH_58,2.0
DEYH_66,2.0
DEYH_71,2.0
DEYH_80,2.0
DEYH_83,2.0
DEYH_92,2.0
DEYH_97,2.0
DEYH_106,2.0
DEYH_109,2.0
DEYH_127,2.0
DEYH_189,2.0
DEYH_210,2.0
DEYH_220,2.0
DEYH_230,2.0
DEYH_233,2.0
DEYH_240,2.0
DEYH_245,2.0
DEYH_257,2.0
DEYH_259,2.0
DEYH_261,2.0
DEYH_262,2.0
DEYH_271,2.0
DEYH_285,2.0
DEYH_299,2.0
DEYH_360,2.0
DEYH_371,2.0
DEYH_423,2.0
DEYH_428,2.0
DEYH_435,2.0
DEYH_444,2.0
DEYH_456,2.0
DEYH_463,2.0
DEYH_471,2.0
DEYH_474,2.0
DEYH_500,2.0
DEYH_507,2.0
DEYH_515,2.0
DEYH_527,2.0
DEYH_567,2.0
DEYH_579,2.0
DEYH_583,2.0
DEYH_592,2.0
DEYH_619,2.0
DEYH_644,2.0
DEYH_676,2.0
DEYH_689,2.0
DEYH_709,2.0
DEYH_728,2.0
DEYH_746,2.0
DEYH_773,2.0
DEYH_795,2.0
DEYH_800,2.0
DEYH_809,2.0
DEYH_822,2.0
DEYH_823,2.0
DEYH_838,2.0
DEYH_853,2.0
DEYH_856,2.0
DEYH_904,2.0
DEYH_907,2.0
DEYH_909,2.0
DEYH_920,2.0
DEYH_926,2.0
DEYH_930,2.0
DEYH_949,2.0
DEYH_950,2.0
DEYH_984,2.0
DEYH_1001,2.0
DEYH_1012,2.0
DEYH_1016,2.0
DEYH_1028,2.0
DEYH_1047,2.0
DEYH_1049,2.0
DEYH_1068,2.0
DEYH_1097,2.0
DEYH_1120,2.0
DEYH_1150,2.0
DEYH_1153,2.0
DEYH_1165,2.0
DEYH_1170,2.0
DEYH_1223,2.0
DEYH_1257,2.0
DEYH_1263,2.0
DEYH_1289,2.0
DEYH_1297,2.0
DEYH_1300,2.0
DEYH_1318,2.0
DEYH_1361,2.0
DEYH_1412,2.0
DEYH_1423,2.0
DEYH_1439,2.0
DEYH_1476,2.0
DEYH_1493,2.0
DEYH_1503,2.0
DEYH_1531,2.0
DEYH_1540,2.0
DEYH_1544,2.0
DEYH_1556,2.0
DEYH_1585,2.0
DEYH_1588,2.0
DEYH_1602,2.0
DEYH_1612,2.0
DEYH_1620,2.0
DEYH_1626,2.0
DEYH_1724,2.0
DEYH_1729,2.0
DEYH_1739,2.0
DEYH_1778,2.0
DEYH_1801,2.0
DEYH_1805,2.0
DEYH_1806,2.0
DEYH_1810,2.0
DEYH_1817,2.0
DEYH_1821,2.0
DEYH_1826,2.0
DEYH_1827,2.0
DEYH_1868,2.0
DEYH_1869,2.0
DEYH_1875,2.0
DEYH_1906,2.0
DEYH_1910,2.0
DEYH_1969,2.0
DEYH_1973,2.0
DEYH_1982,2.0
DEYH_1986,2.0
DEYH_2009,2.0
DEYH_2024,2.0
DEYH_2051,2.0
DEYH_2058,2.0
DEYH_2081,2.0
DEYH_2105,2.0
DEYH_2119,2.0
DEYH_2125,2.0
DEYH_2165,2.0
DEYH_2185,2.0
