,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
abrilumab,17.0473222431789,13.332744185227599,24.337974649524497,18.376218662076102,5.362228789753759,3.7256910115055,2.40715291764912,0.612133541577955,1.53102372950522,3.43188864805681,1.98629376042187,4.97865951384365
adalimumab,19.4315712519468,17.077201539305598,19.4731713884147,21.190040715951604,6.01715222521654,4.83755872701529,4.82365704498594,1.4196163967577202,2.74136392078106,5.6808512648065195,4.5056079685633605,4.63432408162823
alemtuzumab,22.7491508361317,13.860095221717101,24.0839899930022,17.181584799493898,5.7915900227039,3.53167016203093,2.81499149687606,1.44605429222049,2.03045647378628,6.94115949141558,3.91898177181632,3.0681105325488502
alirocumab,21.986103393813895,14.1394561652104,22.5259977780932,20.2951795883517,5.30341302643858,2.33152180098107,4.0948926972201,1.39776587803505,1.5704467528683002,6.49112745305125,4.2988875585401605,3.0253967109665205
anifrolumab,16.6653854895186,13.707998123127801,22.288329218297896,18.459525471852103,5.9985850794472,3.65950592120377,2.85119787266672,2.87244808472408,1.1261830934589399,3.6459225193074705,2.19616947300715,3.4521776006094402
bapineuzumab,20.349042437075,13.747510090706902,25.208545173319397,19.8420504185532,3.9260407575150498,4.69373254997382,3.3675900959893195,2.66292176784072,3.20256620837861,3.29804997025069,3.1975088351267003,2.6657711160520097
basiliximab,13.6597202637078,11.378944835113499,23.9890492446017,18.8013703795974,3.4651791756839705,4.41173502929393,4.02147318006297,2.9166212744643905,3.2952428238984,3.10687867273435,3.27102535906255,3.09489110516505
belimumab,22.4943280624717,16.3467245040346,23.599299869044,21.975200024135603,4.01215414895675,6.2219700815117,4.24778995508805,2.6350898081856498,4.2490295741485395,4.498175889922679,3.25268359696552,3.554790269996
benralizumab,17.4442958112939,11.0734314190679,25.916820042045998,17.3624900868578,5.83150036142957,6.56874249501745,3.99627728214389,3.9231552199001096,3.58626495948723,5.159619550974231,5.7064109383175,3.79463674205683
bevacizumab,19.258090723794698,13.826871539296501,25.1116649844392,18.997133395270602,6.61758312388389,5.37552449151955,3.8449173180703395,3.1423096784132003,2.80779336668701,6.41157998929637,5.30379989422263,4.40081726051696
bimagrumab,15.6913588900703,10.489957591625698,23.883419365391898,17.1372821367464,4.65478612272207,4.13246634352823,3.7751035726834603,2.5566928047650803,2.33613044818797,4.26761212500395,3.48660863981162,3.9253684910183595
blosozumab,20.2558400255791,12.115798895197802,23.342454414323395,15.5527675270656,9.496658567060571,3.47299779475499,4.15112873996811,2.66851115062513,2.9766254796261697,6.9419650344894,3.96682911184715,3.0936489642343505
brentuximab,20.1078088604339,12.624243366597,26.9307098953474,16.0161086793298,7.056606715528621,2.8589800373374397,3.18867692300297,1.79332762174125,1.9601877946769801,6.762107005564059,4.41063634352659,2.81642523776991
briakinumab,18.9051888811819,12.2579338097396,22.3407426915731,18.986073961456498,3.86263461296135,5.455303887714191,4.64194236698021,2.20592349893923,2.8299518961339505,4.79868282762716,3.5747587862432098,3.40636746954009
brodalumab,17.1507035733493,11.5986356952843,24.5035126286595,17.3482353724441,4.10309226080936,6.17198677417336,3.5847462286332594,2.5825506969873597,3.34393245246846,4.948697492287059,2.6061543647138,4.37685321606894
carlumab,17.120575349022698,12.731504726540699,27.344811590241605,17.558612222318402,7.16455727128122,4.68892240637238,3.71482279680057,1.9346216243128702,2.9115275318127205,4.70375970607668,2.65699720400025,3.92811814808168
cetuximab,22.913791837402396,14.446658247926099,23.911900986767897,19.6362236797598,5.10737970550239,4.00699297184134,3.4415451052558796,2.47269282695096,2.7765544477630604,6.12961316370409,4.4593933317565995,2.5545724295817798
cixutumumab,19.8038243975837,12.768996918094,26.6018724781418,19.1329326000093,7.28324994267539,7.50671507900531,5.53426585412591,4.95346831090434,5.8876823324414405,5.785203532959,2.40400932598645,4.04614769549569
clazakizumab,19.9328043043186,14.922759998462501,20.8755747952788,21.1407327671063,5.685770459582599,3.73175290036741,2.8296310319240496,1.4720859588122701,2.7696960860179702,7.28887990650675,3.8589790639087003,3.39049343805552
codrituzumab,18.8563825973772,11.1262586564586,24.273142948811397,15.0412188213761,5.809711683665579,3.2818640939742405,4.7356924288432305,2.0600344233181502,2.19657906322621,5.504620695488441,3.70221972067253,4.505456601395459
dacetuzumab,17.087847614600502,13.2744440530513,24.5030752095326,17.7267249216604,4.23201083733579,3.6061514805966097,3.9267228636518503,1.9920263823167499,2.06885440918344,5.31533426298812,2.76770146324756,3.4280163065803904
daclizumab,18.4926095802568,11.4776086889824,24.9497422385904,17.8952956215725,4.9586474244171,4.07909682626106,2.8542484753096495,1.4957722309450598,2.16671231318574,4.92035254961628,3.76718887171179,3.4046841076128196
dalotuzumab,20.9427009979992,12.092070386922,24.8533369605303,17.1069866437071,4.59127085885687,5.31548899186281,4.85651717601189,3.8002114522436,2.75282731190651,5.9474526452829695,5.622895157720821,3.6807498829219596
